 ,Area,Mean,Min,Max,Length
1,229.147,144.175,65.940,213.815,311.963
2,423.656,161.989,81.060,231.580,574.993
3,372.497,150.350,65.560,238.000,506.414
4,144.949,171.133,118.810,217.120,196.652
5,102.317,170.112,109.450,212.050,138.716
6,114.573,171.477,120.153,213.566,155.710
7,92.725,177.582,103.917,214.500,125.978
8,85.797,176.491,131.800,222.920,116.593
9,79.935,164.822,125.100,211.620,107.918
10,62.349,189.825,142.410,225.000,85.013
11,30.908,180.930,144.390,214.828,41.482
12,251.529,176.876,103.730,230.475,341.259
13,145.482,168.523,115.240,226.000,198.055
14,144.949,170.536,85.000,249.680,196.437
15,9.059,175.040,154.000,191.745,11.715
16,38.369,194.610,154.733,233.000,51.579
17,33.573,172.475,121.055,195.740,45.494
18,18.119,171.682,144.570,225.840,24.412
19,60.751,178.481,46.000,220.520,81.937
20,172.660,174.764,120.570,216.000,234.718
21,230.213,166.356,102.440,219.280,312.742
22,125.764,151.595,90.880,199.500,170.885
23,71.409,167.443,131.572,216.980,96.620
24,206.232,156.518,100.031,228.850,280.036
25,184.916,143.337,92.060,224.240,251.783
26,191.844,168.051,97.000,244.120,260.726
27,241.404,144.484,77.630,253.400,327.494
28,149.212,173.559,63.362,251.800,202.378
29,264.851,153.210,85.740,227.955,359.555
30,462.557,159.803,83.660,243.240,628.070
31,86.863,169.106,122.420,212.550,117.367
32,150.811,166.065,96.090,214.225,204.867
33,251.529,181.351,105.760,254.210,341.892
34,283.503,162.931,81.290,238.300,385.504
35,145.482,178.890,123.338,232.570,197.716
36,124.166,183.574,107.825,252.500,168.359
37,139.087,177.916,115.858,225.500,189.230
38,57.020,177.435,155.460,193.090,77.208
39,95.389,182.124,139.250,237.250,129.389
40,71.941,169.898,141.753,219.500,97.659
41,55.954,171.465,143.150,213.000,75.835
42,43.165,176.681,158.658,197.567,58.082
43,362.905,165.925,81.140,220.119,492.872
44,57.020,182.890,151.880,235.220,77.509
45,87.928,177.289,124.794,230.790,119.799
46,252.062,169.208,97.580,239.992,342.976
47,228.614,155.409,118.750,220.500,310.787
48,241.937,167.987,109.700,218.810,328.596
49,121.501,161.764,112.666,197.100,165.398
50,112.975,174.023,47.320,199.900,153.023
51,216.357,150.923,89.050,200.870,293.466
52,362.905,165.771,81.170,225.000,462.745
53,277.108,164.426,112.000,212.107,354.775
54,501.992,154.378,83.680,238.000,644.247
55,235.542,160.829,103.663,211.460,296.076
56,116.705,169.238,115.000,232.860,147.292
57,189.712,154.448,80.000,225.740,243.681
58,1006.648,160.583,85.980,255.000,1290.836
59,235.542,160.729,111.000,205.400,297.479
60,82.599,165.006,137.000,197.880,102.872
61,291.496,172.207,104.582,204.000,366.753
62,84.731,172.590,141.000,191.000,106.702
63,98.054,174.737,128.000,211.000,123.197
64,116.705,169.540,130.000,205.000,148.164
65,216.890,156.017,88.000,221.000,278.229
66,148.146,162.322,98.660,225.980,192.638
67,283.503,173.513,116.200,227.759,365.748
68,325.069,160.855,98.700,223.980,412.830
69,147.613,166.045,105.440,196.000,188.789
70,239.805,171.918,84.573,210.940,299.266
71,230.213,155.479,101.350,224.720,299.102
72,67.678,158.410,79.040,212.920,86.861
73,72.474,162.742,128.770,195.000,92.480
74,212.627,151.987,98.080,197.000,274.797
75,100.718,152.726,118.630,212.100,129.345
76,316.010,144.357,86.980,242.350,401.618
77,154.541,173.341,139.000,215.000,195.607
78,158.804,148.208,71.320,242.050,204.847
79,70.876,173.170,91.000,214.800,88.716
80,136.422,157.046,85.000,215.000,172.797
81,173.725,147.944,93.252,197.000,218.981
82,208.364,159.897,95.700,194.000,263.722
83,107.646,168.071,127.000,198.820,137.782
84,122.034,141.830,79.040,241.000,158.144
85,200.370,149.862,92.000,223.320,262.879
86,136.422,141.039,82.190,217.200,176.038
