 ,Area,Mean,Min,Max,Length
1,138.021,120.781,32.787,195.317,189.768
2,168.929,140.406,98.167,227.880,232.147
3,81.534,118.037,86.850,145.690,112.388
4,130.560,120.205,64.625,153.720,180.802
5,533.433,125.788,49.025,199.860,740.624
6,288.299,113.657,42.550,169.324,402.671
7,268.049,119.995,51.253,192.520,370.431
8,418.326,167.126,83.436,226.510,577.972
9,197.173,163.267,108.997,232.706,273.820
10,276.042,162.097,70.070,251.400,382.813
11,226.482,156.612,105.147,218.467,312.543
12,70.876,137.577,77.783,205.293,97.548
13,181.719,115.263,61.354,183.767,253.476
14,62.349,100.893,51.371,171.333,86.391
15,99.119,118.067,47.291,198.060,137.768
16,354.911,136.011,29.555,234.058,493.609
17,280.838,139.733,77.126,198.792,386.393
18,97.521,113.323,28.406,161.485,134.675
19,306.950,111.563,54.630,181.675,424.297
20,17.053,115.687,81.050,132.950,23.315
21,354.911,126.110,36.546,210.921,492.640
22,506.788,138.730,73.970,201.075,700.703
23,10.125,133.883,124.000,158.500,13.979
24,71.941,124.061,85.570,174.680,99.487
25,223.285,142.503,50.575,200.110,308.865
26,140.153,141.173,77.325,208.695,194.477
27,128.429,147.074,82.858,225.267,177.989
28,207.298,152.403,88.198,221.380,286.759
29,180.120,137.141,79.334,211.488,251.005
30,94.856,136.126,88.822,189.878,130.863
31,127.363,137.441,87.676,205.450,175.640
32,60.218,131.516,84.420,190.000,82.783
33,435.379,142.481,90.873,191.655,606.269
34,501.459,136.955,35.860,254.659,692.682
35,98.054,125.859,59.350,212.142,135.955
36,59.685,107.766,75.779,143.006,82.194
37,83.132,119.278,70.560,163.525,114.664
38,53.290,118.035,91.895,174.000,73.563
39,302.154,147.455,60.957,209.120,421.535
40,50.625,160.307,110.344,216.967,70.384
41,197.173,149.175,83.047,226.664,272.427
42,212.094,154.576,77.965,209.591,293.021
43,332.530,157.967,59.500,243.470,460.408
44,155.607,153.048,70.995,211.375,215.508
45,55.954,135.236,86.450,215.340,76.716
46,224.884,134.160,82.699,191.858,310.774
47,158.804,137.700,76.250,189.630,219.525
48,28.244,103.008,70.166,145.699,38.594
49,316.543,127.413,57.394,253.332,437.547
50,23.980,117.604,101.320,133.537,32.706
51,210.495,111.401,25.833,164.190,290.776
52,154.008,105.183,47.846,175.625,212.636
53,189.712,104.610,61.310,155.721,262.916
54,44.764,110.277,73.419,133.906,61.854
55,197.173,144.128,86.174,195.192,271.429
56,131.626,147.923,70.166,198.711,184.641
57,216.357,157.249,84.561,201.831,299.728
58,122.567,138.350,57.571,206.554,169.892
59,155.607,149.463,92.984,195.443,214.896
60,77.803,142.733,92.020,186.661,106.826
61,189.712,147.143,86.569,209.956,263.516
62,185.982,144.228,96.715,184.655,257.208
63,31.441,117.836,96.938,141.177,43.136
64,206.765,111.341,71.759,183.919,287.019
65,116.705,107.552,42.783,185.914,161.593
66,269.114,130.408,54.308,182.380,370.549
67,443.906,143.106,45.836,212.675,612.475
68,101.251,138.745,74.234,194.352,139.737
69,72.474,140.339,112.280,166.337,99.438
70,25.046,132.008,111.452,154.938,33.997
71,25.046,132.008,111.452,154.938,33.997
72,96.455,135.245,88.923,197.831,133.163
73,82.067,166.026,125.188,212.725,112.472
74,216.357,138.810,74.336,224.040,300.901
75,325.602,151.539,68.968,199.130,450.216
76,46.362,145.248,98.745,205.423,63.667
77,95.922,136.972,78.975,203.921,132.295
78,192.910,153.053,83.983,214.540,266.109
79,60.218,118.174,70.343,158.063,82.555
80,26.645,130.418,100.507,144.578,36.382
81,286.167,159.521,72.750,248.073,395.317
82,255.259,159.539,69.216,234.660,352.722
83,164.666,152.739,103.603,234.243,227.566
84,263.253,156.622,71.601,226.924,364.344
85,176.923,136.778,90.350,207.833,244.619
86,63.415,134.607,98.702,206.416,87.541
87,157.206,135.932,96.820,180.938,217.433
88,181.186,141.715,64.500,233.274,250.514
89,274.443,145.990,66.352,255.000,378.632
90,159.870,134.341,78.282,206.080,219.866
91,166.798,118.287,35.716,174.312,228.476
92,411.399,115.120,40.253,184.672,565.707
93,50.625,106.600,79.680,147.057,69.427
94,123.100,110.088,34.028,155.834,169.539
95,64.481,125.652,96.554,164.217,88.608
96,116.705,114.660,58.000,152.200,160.582
97,278.174,125.218,64.520,175.900,381.761
98,142.284,118.351,68.975,157.468,196.593
99,17.586,119.439,98.188,162.750,24.083
100,111.376,132.721,67.021,191.350,153.132
101,76.738,119.062,76.184,151.000,105.715
102,387.951,142.197,65.220,203.120,537.125
103,46.362,132.794,83.933,157.247,63.053
