 ,Label,Area,Length
1,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0195-0081,439.110,539.053
2,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0092-0104,265.917,337.700
3,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0026-0101,109.777,135.343
4,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0056-0426,227.548,285.212
5,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0083-0552,213.693,275.554
6,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0116-0591,36.770,41.447
7,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0093-0668,236.608,291.050
8,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0087-0699,239.272,299.053
9,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0119-0809,208.364,266.060
10,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0134-0886,163.600,208.414
11,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0149-1044,380.491,476.248
12,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0148-1037,59.685,78.297
13,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0358-0073,65.547,80.825
14,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0415-0096,285.634,361.858
15,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0469-0114,117.238,149.474
16,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0419-0065,88.461,106.128
17,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0469-0057,40.500,49.933
18,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0554-0072,401.807,502.532
19,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0554-0072,401.807,502.532
20,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0601-0011,59.152,73.727
21,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0655-0041,249.930,311.893
22,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0791-0071,239.805,295.398
23,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0813-0186,244.601,295.045
24,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0833-0278,176.923,214.049
25,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0848-0360,208.364,252.768
26,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0870-0444,238.739,295.004
27,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0909-0536,155.607,189.622
28,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0962-0587,94.856,114.162
29,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0923-0623,94.323,113.658
30,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1002-0714,628.289,777.932
31,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0099-1425,1269.368,1564.396
32,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0102-1283,103.915,128.412
33,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0077-1440,457.761,562.069
34,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0029-1290,261.654,315.675
35,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0023-1715,96.988,117.516
36,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0078-1870,346.385,434.759
37,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0256-1896,372.497,471.218
38,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0452-1937,203.568,254.833
39,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0489-2002,102.317,128.177
40,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0535-1991,184.916,230.010
41,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0617-1979,192.377,239.769
42,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0615-2014,93.790,117.823
43,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0682-2014,101.251,125.107
44,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0740-2030,41.033,50.506
45,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0817-1996,156.673,194.832
46,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0832-1956,141.218,182.150
47,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0843-1843,221.153,280.120
48,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0858-1852,45.829,55.690
49,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0864-1693,202.502,252.334
50,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0873-1698,60.218,77.298
51,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0875-1537,169.462,217.113
52,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0924-1472,25.046,30.162
53,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0890-1451,101.251,129.692
54,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0961-1383,488.136,624.053
55,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1034-1338,66.612,86.305
56,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0980-1306,162.002,207.064
57,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0996-1259,144.416,189.849
58,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0780-0802,426.320,541.147
59,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0599-0864,169.995,208.682
60,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0584-0868,81.001,100.250
61,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0486-0909,310.681,386.014
62,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0414-0946,158.271,198.103
63,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0360-1001,199.305,249.557
64,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0407-1093,334.661,406.004
65,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0407-1093,334.661,406.004
66,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0512-1124,266.983,333.304
67,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0637-1149,257.391,325.245
68,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0614-1138,73.540,91.845
69,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0757-1162,157.738,198.668
70,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:0882-1184,320.806,403.481
71,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1061-1305,956.555,1201.484
72,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1161-1477,190.778,239.443
73,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1185-1669,554.749,699.132
74,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1227-1875,132.692,167.157
75,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1201-1920,34.638,41.506
76,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1224-1953,94.856,115.159
77,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1243-1997,118.837,149.818
78,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1330-1998,183.318,228.420
79,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1398-1976,264.851,321.103
80,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1480-1957,68.211,83.502
81,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1501-1925,142.817,175.860
82,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1575-1910,132.159,166.150
83,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1625-1889,114.041,143.971
84,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1715-1880,96.455,119.855
85,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1858-1821,478.544,617.347
86,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1978-1845,57.020,69.965
87,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:2021-1828,54.889,71.940
88,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:2004-1777,215.824,277.043
89,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:2044-1774,13.855,16.094
90,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1975-1675,564.874,727.439
91,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1930-1496,409.267,507.486
92,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1908-1382,104.448,133.047
93,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1886-1295,369.300,451.749
94,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1856-1135,304.819,415.271
95,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1867-1023,70.343,91.917
96,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1872-0951,129.495,165.471
97,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1893-0837,375.162,475.496
98,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1923-0718,132.159,167.929
99,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1902-0711,222.219,278.073
100,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1918-0616,157.206,198.362
101,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1918-0535,232.877,287.902
102,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1938-0488,194.508,272.860
103,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1919-0520,43.165,59.379
104,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1960-0365,333.062,464.065
105,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1958-0386,113.508,157.055
106,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1993-0249,282.970,361.363
107,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:2038-0133,35.171,48.516
108,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:2000-0138,163.067,226.518
109,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1931-0127,115.106,147.461
110,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1937-0103,36.237,43.936
111,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1969-0115,64.481,79.346
112,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1848-0115,162.002,223.978
113,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1722-0106,211.028,287.136
114,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1726-0087,77.270,103.984
115,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1502-0068,658.131,819.808
116,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1496-0064,203.035,259.681
117,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1496-0064,203.035,259.681
118,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1315-0011,52.757,71.150
119,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1332-0052,185.982,251.489
120,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1207-0140,464.689,594.854
121,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1186-0152,79.935,101.189
122,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1179-0182,37.836,48.590
123,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1187-0206,44.764,57.940
124,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1186-0269,93.257,117.945
125,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1184-0319,161.469,200.822
126,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1172-0389,336.260,431.332
127,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1158-0487,153.475,199.037
128,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1155-0539,136.422,176.085
129,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1155-0539,136.422,176.085
130,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1126-0613,303.753,388.889
131,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1096-0751,186.515,238.787
132,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1230-0805,195.041,252.038
133,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1332-0832,98.054,128.495
134,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1214-0819,37.303,48.392
135,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1364-0814,73.007,92.606
136,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1459-0862,357.043,464.293
137,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1473-0884,44.231,55.348
138,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1568-0930,43.698,54.201
139,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1532-0918,50.625,67.146
140,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1632-0920,426.320,546.232
141,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1653-1013,51.158,67.317
142,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1722-1057,1268.302,1635.814
143,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1542-1164,391.681,511.122
144,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1455-1142,39.968,50.548
145,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1335-1189,226.482,295.291
146,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1335-1189,226.482,295.291
147,Stack_Frontview02_Labeled_Covered_Area_overlay.jpg:1174-1190,193.976,247.315
