 ,Area,Mean,Min,Max,Length
1,18,204.309,195.167,208.667,17.816
2,61,207.944,188.000,231.000,58.337
3,25,222.940,210.240,233.580,22.562
4,119,208.779,177.000,237.000,110.618
5,149,222.594,170.713,237.667,147.558
6,81,189.428,165.500,218.500,80.686
7,190,213.619,177.890,241.142,188.578
8,177,214.439,157.604,254.837,176.222
9,208,220.922,202.460,245.720,205.291
10,73,208.266,188.535,228.750,71.912
11,202,188.706,134.040,251.000,200.117
12,86,168.977,123.389,220.245,85.355
13,295,212.961,167.000,251.000,291.907
14,173,176.576,132.000,205.965,163.200
15,118,220.477,148.321,254.929,117.219
16,39,208.880,184.666,228.159,38.811
