 ,Area,Mean,Min,Max,Length
1,50,145.483,108.390,177.000,47.456
2,108,143.344,89.591,158.820,104.473
3,82,194.714,168.000,236.000,78.170
4,170,196.244,138.200,246.000,154.824
5,168,219.622,186.000,242.000,157.067
6,147,183.752,46.000,228.370,142.011
7,95,187.431,150.000,230.000,89.624
8,121,155.188,114.200,200.660,118.578
9,138,143.031,113.378,165.000,133.406
10,99,203.540,155.950,229.180,96.122
11,210,183.003,155.690,214.780,200.705
12,104,195.027,172.000,223.700,97.646
13,95,211.531,157.320,249.790,90.191
14,82,158.960,137.000,183.000,78.783
15,17,130.377,122.000,139.000,15.548
16,54,171.005,158.060,189.000,52.908
17,138,161.784,146.400,175.940,135.030
18,60,163.997,150.760,181.000,57.613
19,93,187.820,158.000,210.400,90.028
20,44,198.852,187.000,217.500,43.269
21,53,180.689,168.000,200.680,50.195
22,72,163.950,153.000,192.500,70.716
23,34,196.866,190.000,206.500,33.328
24,70,174.754,163.390,199.500,69.368
25,223,248.239,235.660,254.715,220.277
26,130,141.581,123.500,198.685,128.787
27,82,178.048,159.000,193.000,76.866
28,82,177.244,165.430,201.000,79.842
