 ,Area,Mean,Min,Max,Length
1,36,155.909,48.360,180.480,34.762
2,33,179.534,101.590,190.066,32.266
3,9,157.239,117.270,187.160,8.633
4,7,176.610,151.875,190.583,6.313
5,41,167.117,128.531,177.750,40.604
6,32,153.445,128.671,174.168,31.984
7,16,167.592,153.167,173.000,15.389
8,51,169.662,164.250,173.000,50.671
9,25,169.072,142.417,176.510,24.544
10,47,168.251,153.140,177.161,46.958
11,13,154.395,129.850,196.130,12.045
12,30,136.633,131.055,156.333,29.373
13,39,171.725,133.222,192.032,38.955
14,51,142.474,104.220,178.484,50.444
15,70,159.634,120.057,168.000,69.713
16,38,161.265,96.961,174.278,37.447
17,38,157.172,132.723,168.000,37.706
18,39,173.625,162.957,194.733,38.905
19,44,166.776,159.166,173.000,43.388
20,58,169.302,155.611,187.870,57.551
21,27,166.291,152.955,176.278,26.142
22,24,164.837,134.555,174.763,24.041
23,32,156.051,142.320,162.650,31.592
24,38,163.762,151.000,171.500,37.901
25,20,154.523,122.849,169.307,19.315
26,65,157.708,149.717,173.000,64.842
27,5,160.169,155.475,164.513,4.074
28,66,166.747,154.057,176.701,66.203
29,5,163.771,159.750,165.778,4.364
30,17,159.692,153.720,164.311,16.596
31,81,145.775,125.000,161.000,80.107
32,23,158.160,127.246,174.466,22.131
33,10,161.889,129.680,192.870,9.203
34,20,149.603,138.006,159.601,20.047
35,16,154.098,137.583,170.823,15.909
36,41,157.621,152.066,161.745,40.460
37,62,149.544,140.426,169.385,61.615
38,79,164.416,156.189,173.638,78.146
39,37,175.629,167.461,180.000,36.068
40,32,171.288,163.417,176.613,31.461
41,8,175.371,163.790,181.152,7.191
42,94,182.937,171.939,201.660,93.943
43,22,176.829,166.523,193.000,21.933
44,31,147.760,129.938,168.500,30.588
45,48,148.105,139.000,169.487,47.705
46,35,137.152,125.586,156.000,34.093
47,61,144.953,125.320,171.405,60.019
48,52,174.765,149.058,196.592,51.335
49,18,173.504,159.668,188.223,17.833
50,16,189.676,155.500,215.462,15.251
51,53,215.853,210.167,222.915,52.272
52,34,217.394,208.530,234.667,33.438
53,31,166.062,127.346,179.020,30.091
54,60,156.711,139.573,199.306,59.275
55,62,140.990,136.375,145.333,60.847
56,83,183.158,168.667,190.926,82.568
57,35,185.760,179.667,190.907,34.182
58,117,190.468,163.985,207.049,115.507
59,52,186.221,172.560,204.500,51.917
60,8,230.569,210.000,240.000,7.586
61,43,178.663,162.625,192.000,42.935
62,49,194.718,177.360,209.875,48.840
63,73,189.173,170.264,205.000,72.020
64,56,176.194,144.200,193.000,55.488
65,96,156.862,125.900,178.000,95.521
66,82,207.608,186.004,219.667,81.159
67,12,215.592,194.717,225.159,11.047
68,60,190.935,176.798,203.000,59.832
69,53,192.410,175.892,202.506,52.577
70,29,189.487,183.933,201.139,28.204
71,30,180.946,167.778,194.798,29.176
72,101,189.442,182.594,196.989,99.966
73,39,183.050,171.550,192.682,38.018
74,21,190.004,176.382,205.517,20.796
75,16,223.897,203.500,245.700,15.668
76,110,177.587,160.900,197.330,108.322
77,12,192.680,181.400,202.793,11.387
78,30,186.350,183.060,190.000,28.522
79,19,197.728,180.500,205.820,18.731
80,8,149.783,144.000,153.337,7.611
