 ,Label,Area,Length
1,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0087-0225,263.785,333.581
2,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0015-0668,231.279,305.498
3,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0212-1037,556.348,707.232
4,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0054-1458,285.101,371.606
5,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0135-1818,132.692,173.003
6,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0165-1959,12.790,17.520
7,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0164-1998,20.783,26.797
8,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0641-2013,167.863,226.604
9,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0762-2012,30.375,39.937
10,Stack_Frontview09_SubstrateCovered_Overlay.jpg:1136-2009,368.234,493.886
11,Stack_Frontview09_SubstrateCovered_Overlay.jpg:0825-0074,699.165,883.069
12,Stack_Frontview09_SubstrateCovered_Overlay.jpg:1482-0000,89.527,122.640
13,Stack_Frontview09_SubstrateCovered_Overlay.jpg:1990-0192,243.535,306.796
14,Stack_Frontview09_SubstrateCovered_Overlay.jpg:2046-0440,140.153,188.100
15,Stack_Frontview09_SubstrateCovered_Overlay.jpg:2045-1793,241.404,327.236
16,Stack_Frontview09_SubstrateCovered_Overlay.jpg:1901-1044,383.688,479.410
17,Stack_Frontview09_SubstrateCovered_Overlay.jpg:1023-0959,932.575,1209.212
18,Stack_Frontview09_SubstrateCovered_Overlay.jpg:1023-0959,932.575,1209.212
