 ,Area,Mean,Min,Max,Length
1,16,54.634,38.000,97.000,15.513
2,9,125.789,74.179,198.060,7.185
3,8,119.736,83.000,161.891,6.516
4,22,118.503,69.000,184.350,20.307
5,5,65.400,46.000,96.000,5.000
6,307,109.049,70.000,160.970,305.284
7,376,106.389,81.000,123.000,367.813
8,86,125.940,92.240,223.000,84.988
9,11,66.949,30.220,108.080,8.478
10,15,84.533,33.000,172.000,13.010
11,8,118.000,88.000,148.000,8.000
12,11,97.794,49.960,151.360,9.107
13,15,131.060,79.000,186.820,13.192
14,162,117.635,79.000,132.291,157.910
15,34,117.648,92.000,193.360,29.434
16,11,74.091,0.000,177.000,11.000
17,6,52.833,46.000,62.000,5.136
18,3,88.000,82.000,97.000,3.000
19,15,101.400,55.660,154.300,14.107
20,15,66.175,26.720,126.220,13.299
21,5,97.224,84.000,108.121,4.243
22,8,123.250,81.000,178.000,8.000
23,13,108.794,61.560,217.000,11.453
24,507,124.426,96.000,172.000,505.945
25,5,145.073,130.000,161.477,4.136
26,3,92.667,71.000,119.000,2.000
27,9,105.276,83.000,157.666,8.375
28,18,129.500,52.000,212.320,17.090
29,14,82.869,49.000,167.000,13.091
30,583,108.999,96.000,157.000,576.211
31,67,95.034,60.960,102.000,66.183
32,6,54.667,32.000,90.000,6.000
33,6,63.000,34.000,110.000,6.000
34,10,100.102,38.000,194.579,9.106
35,7,92.143,49.000,168.000,7.000
36,5,52.200,41.000,65.000,5.000
37,8,56.625,13.000,146.000,8.000
38,24,51.704,21.000,138.060,21.639
39,6,60.236,42.620,95.000,5.310
