 ,Area,Mean,Min,Max,Length
1,3.730,100.667,85.000,118.773,5.025
2,4.263,107.980,96.438,126.167,5.371
3,194.508,96.446,50.000,141.780,259.913
4,3.197,112.300,104.533,122.500,4.182
5,149.745,84.619,15.135,117.460,204.354
6,3.197,62.257,36.201,93.800,3.835
7,2.664,83.211,70.833,105.112,3.304
8,11.191,117.701,90.073,155.600,14.905
9,2.132,112.765,98.133,130.021,2.397
10,2.132,107.363,97.950,116.750,2.603
11,3.197,69.698,45.070,99.875,4.123
12,8.526,65.680,33.750,129.250,11.530
13,2.132,111.488,100.828,123.156,2.387
14,4.796,114.824,103.493,134.250,6.233
15,5.862,101.848,78.740,160.900,7.889
16,2.132,111.353,95.375,136.940,2.340
17,2.132,102.903,91.833,113.111,2.221
18,8.526,61.319,45.430,122.875,11.656
19,3.730,62.745,36.670,106.560,4.451
20,4.796,58.582,35.167,93.848,6.149
21,2.132,108.771,92.667,124.584,2.251
22,2.132,116.958,98.020,147.719,2.373
23,3.197,98.824,79.860,125.300,3.872
24,3.197,81.336,49.658,126.307,3.958
25,4.263,68.828,36.856,108.250,5.507
26,2.664,79.713,64.103,100.182,3.126
27,2.664,104.873,98.250,113.219,3.050
28,3.197,81.960,63.993,111.125,4.284
29,3.197,59.970,26.541,109.363,4.270
30,51.691,75.327,24.320,102.000,70.523
31,7.461,22.137,0.000,95.333,9.865
32,3.197,52.649,39.834,73.279,4.039
33,3.197,107.145,84.500,151.750,3.743
34,2.132,106.083,90.312,122.828,2.437
35,4.263,107.243,84.530,150.391,5.424
36,2.132,81.972,72.392,93.439,2.282
37,3.730,37.915,1.250,80.852,4.906
38,2.664,93.255,80.500,108.890,3.305
39,2.132,85.349,69.022,108.562,2.857
40,3.730,121.294,106.750,140.000,4.563
41,2.132,104.847,93.515,120.656,2.874
42,3.197,111.238,83.800,162.215,3.803
43,2.132,104.903,93.507,116.685,2.396
44,1.599,131.230,123.031,141.426,2.085
45,2.132,97.197,75.671,133.897,2.709
46,5.862,109.537,92.517,146.333,7.801
47,1.599,121.544,114.467,132.999,1.867
48,1.599,94.573,88.833,102.056,2.009
49,5.329,55.506,24.250,98.915,6.765
50,4.263,53.505,26.600,92.500,5.290
51,3.197,86.526,79.916,99.833,3.919
52,2.664,108.743,104.696,115.029,3.362
53,297.358,104.069,79.000,197.360,401.771
54,3.197,103.993,98.260,118.000,3.780
55,3.730,86.144,71.070,110.000,4.487
56,3.197,81.041,66.327,108.333,3.973
57,7.993,70.678,52.938,105.500,10.265
58,5.329,81.405,61.877,124.000,6.693
59,2.132,101.475,85.480,127.500,2.929
60,3.197,93.038,68.167,130.667,3.946
61,1.599,127.649,119.247,136.047,1.593
62,3.197,101.744,75.338,153.391,4.041
63,6.395,97.163,84.353,112.531,8.489
64,2.132,101.259,81.221,127.083,2.647
