 ,Label,Area,Length
1,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0279-0136,2.664,3.650
2,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0599-0123,2.132,2.920
3,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0738-0089,1.599,2.190
4,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0822-0174,1.599,2.190
5,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0838-0257,3.197,4.380
6,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0851-0347,2.132,2.920
7,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0867-0445,2.132,2.548
8,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0884-0536,3.730,4.552
9,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0884-0575,2.132,2.377
10,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0888-0613,1.066,1.460
11,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0904-0673,2.664,3.650
12,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0928-0751,2.664,2.925
13,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0657-0835,2.132,2.920
14,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0527-0860,1.066,0.730
15,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0137-0574,2.664,3.092
16,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0128-0516,1.066,1.460
17,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0099-0358,2.132,2.362
18,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0241-1105,3.730,4.181
19,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0177-1262,3.730,4.552
20,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0153-1570,1.599,2.190
21,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0132-1707,2.132,2.548
22,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0860-1864,2.664,3.278
23,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0859-1810,2.664,3.650
24,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0866-1702,1.599,2.190
25,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0879-1606,2.132,2.920
26,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0889-1396,1.599,1.818
27,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:0881-1470,3.730,5.110
28,Stack_Frontview04_Labeled_unCovered_Area_Overlay.jpg:1142-1223,1.599,1.818
