 ,Label,Area,Length
1,Stack_Frontview08_Uncovered_Overlay.jpg:0238-0005,2.664,3.092
2,Stack_Frontview08_Uncovered_Overlay.jpg:0189-0005,3.730,4.552
3,Stack_Frontview08_Uncovered_Overlay.jpg:0189-0005,3.730,4.552
4,Stack_Frontview08_Uncovered_Overlay.jpg:0157-0081,1.066,1.460
5,Stack_Frontview08_Uncovered_Overlay.jpg:0145-0135,1.066,1.460
6,Stack_Frontview08_Uncovered_Overlay.jpg:0138-0228,2.132,2.920
7,Stack_Frontview08_Uncovered_Overlay.jpg:0129-0319,1.066,1.460
8,Stack_Frontview08_Uncovered_Overlay.jpg:0117-0452,2.132,2.377
9,Stack_Frontview08_Uncovered_Overlay.jpg:0846-0849,1.066,1.289
10,Stack_Frontview08_Uncovered_Overlay.jpg:0881-0714,1.599,1.938
11,Stack_Frontview08_Uncovered_Overlay.jpg:0918-0558,1.599,1.709
12,Stack_Frontview08_Uncovered_Overlay.jpg:0924-0526,1.599,1.950
13,Stack_Frontview08_Uncovered_Overlay.jpg:0960-0441,1.066,1.460
14,Stack_Frontview08_Uncovered_Overlay.jpg:0994-0178,2.132,2.505
15,Stack_Frontview08_Uncovered_Overlay.jpg:1020-0179,2.132,2.259
16,Stack_Frontview08_Uncovered_Overlay.jpg:0774-0150,1.599,1.703
17,Stack_Frontview08_Uncovered_Overlay.jpg:0691-0134,2.132,2.721
18,Stack_Frontview08_Uncovered_Overlay.jpg:0595-0108,2.132,2.740
19,Stack_Frontview08_Uncovered_Overlay.jpg:0469-0067,2.132,2.780
20,Stack_Frontview08_Uncovered_Overlay.jpg:0306-1177,2.132,2.705
21,Stack_Frontview08_Uncovered_Overlay.jpg:0200-1206,1.599,1.855
22,Stack_Frontview08_Uncovered_Overlay.jpg:0104-1231,2.132,2.848
23,Stack_Frontview08_Uncovered_Overlay.jpg:0072-1404,1.599,1.951
24,Stack_Frontview08_Uncovered_Overlay.jpg:0101-1473,1.599,1.604
25,Stack_Frontview08_Uncovered_Overlay.jpg:0121-1536,1.599,1.583
26,Stack_Frontview08_Uncovered_Overlay.jpg:0128-1584,1.599,2.190
27,Stack_Frontview08_Uncovered_Overlay.jpg:0135-1605,1.599,1.642
28,Stack_Frontview08_Uncovered_Overlay.jpg:0151-1685,2.132,2.433
29,Stack_Frontview08_Uncovered_Overlay.jpg:0156-1721,2.132,2.473
30,Stack_Frontview08_Uncovered_Overlay.jpg:0192-1912,2.664,3.407
31,Stack_Frontview08_Uncovered_Overlay.jpg:0200-1990,1.599,1.746
32,Stack_Frontview08_Uncovered_Overlay.jpg:0270-2016,6.395,7.831
33,Stack_Frontview08_Uncovered_Overlay.jpg:0359-2014,4.263,5.840
34,Stack_Frontview08_Uncovered_Overlay.jpg:0743-1973,1.066,1.460
35,Stack_Frontview08_Uncovered_Overlay.jpg:0902-1954,1.066,1.351
36,Stack_Frontview08_Uncovered_Overlay.jpg:1083-1943,2.132,2.567
37,Stack_Frontview08_Uncovered_Overlay.jpg:0906-1312,2.132,2.727
38,Stack_Frontview08_Uncovered_Overlay.jpg:0863-1130,2.132,2.209
39,Stack_Frontview08_Uncovered_Overlay.jpg:0847-1072,1.599,1.917
40,Stack_Frontview08_Uncovered_Overlay.jpg:1164-0156,2.664,3.099
41,Stack_Frontview08_Uncovered_Overlay.jpg:1298-0120,1.599,1.639
42,Stack_Frontview08_Uncovered_Overlay.jpg:1897-0054,1.599,1.715
43,Stack_Frontview08_Uncovered_Overlay.jpg:1904-0090,2.132,2.295
44,Stack_Frontview08_Uncovered_Overlay.jpg:1917-0133,1.599,2.190
45,Stack_Frontview08_Uncovered_Overlay.jpg:1922-0170,2.664,3.106
46,Stack_Frontview08_Uncovered_Overlay.jpg:1929-0187,1.599,1.568
47,Stack_Frontview08_Uncovered_Overlay.jpg:1958-0299,1.066,1.390
48,Stack_Frontview08_Uncovered_Overlay.jpg:1989-0401,1.599,1.553
49,Stack_Frontview08_Uncovered_Overlay.jpg:1949-0885,2.132,2.520
50,Stack_Frontview08_Uncovered_Overlay.jpg:1912-0887,1.599,1.703
51,Stack_Frontview08_Uncovered_Overlay.jpg:1736-0918,1.066,0.973
52,Stack_Frontview08_Uncovered_Overlay.jpg:1694-0929,1.066,1.217
53,Stack_Frontview08_Uncovered_Overlay.jpg:1833-1189,1.599,2.004
54,Stack_Frontview08_Uncovered_Overlay.jpg:2010-1695,2.664,3.278
55,Stack_Frontview08_Uncovered_Overlay.jpg:2000-1725,2.132,2.920
56,Stack_Frontview08_Uncovered_Overlay.jpg:1299-1972,1.066,1.499
57,Stack_Frontview08_Uncovered_Overlay.jpg:1149-1374,2.132,2.309
58,Stack_Frontview08_Uncovered_Overlay.jpg:1160-1331,2.132,2.323
59,Stack_Frontview08_Uncovered_Overlay.jpg:1190-1164,1.599,2.323
60,Stack_Frontview08_Uncovered_Overlay.jpg:1200-1107,1.066,1.036
61,Stack_Frontview08_Uncovered_Overlay.jpg:1219-0929,2.132,2.743
62,Stack_Frontview08_Uncovered_Overlay.jpg:1119-0490,1.599,2.225
63,Stack_Frontview08_Uncovered_Overlay.jpg:1150-0573,1.599,2.062
64,Stack_Frontview08_Uncovered_Overlay.jpg:1154-0583,1.599,1.536
65,Stack_Frontview08_Uncovered_Overlay.jpg:1176-0671,1.066,1.277
66,Stack_Frontview08_Uncovered_Overlay.jpg:1191-0743,1.599,1.830
