 ,Area,Mean,Min,Max,Length
1,64.481,117.028,33.610,168.280,81.830
2,123.100,127.901,68.000,172.980,157.571
3,198.239,118.325,33.000,212.000,249.089
4,119.370,118.479,24.510,188.820,149.855
5,184.383,113.357,32.173,205.349,233.437
6,151.876,114.507,60.000,187.910,185.696
7,44.231,126.054,109.390,145.000,54.115
8,41.033,117.968,78.100,142.860,51.389
9,36.770,126.132,107.530,141.990,45.747
10,93.257,143.672,96.000,190.000,115.836
11,18.119,136.390,126.000,149.000,21.916
12,41.566,140.689,123.000,163.000,54.061
13,285.101,144.110,64.180,228.249,349.837
14,308.549,151.627,63.000,253.160,384.898
15,136.422,163.967,90.000,237.790,165.691
16,79.402,151.313,64.000,239.000,97.665
17,50.625,143.955,109.720,196.680,63.804
18,114.041,146.878,89.000,220.000,140.895
19,319.207,140.838,66.520,205.910,407.919
20,78.336,121.560,54.680,176.000,99.367
21,116.705,117.413,35.730,223.540,149.076
22,244.601,109.921,63.000,185.000,305.090
23,219.022,117.307,46.000,173.000,272.299
24,331.464,121.547,35.640,195.970,409.391
25,184.383,134.655,47.020,202.080,239.608
26,136.955,127.283,50.000,241.000,173.125
27,232.877,142.667,62.660,224.040,294.015
28,89.527,162.771,132.320,175.440,114.144
29,64.481,160.765,141.000,183.818,79.194
30,74.606,155.784,60.340,200.000,94.162
31,41.033,149.392,89.769,209.660,54.648
32,270.180,131.668,73.720,229.370,343.790
33,65.547,168.851,146.000,185.700,80.449
34,36.237,164.287,143.000,179.490,45.557
35,49.560,160.329,105.000,206.000,61.037
36,157.738,141.723,86.070,210.160,201.015
37,64.481,167.295,130.000,184.060,84.961
38,508.387,144.695,75.430,237.000,639.130
39,391.681,144.076,51.320,242.007,495.170
40,106.047,119.341,53.000,186.000,130.198
41,60.218,111.939,54.340,170.000,76.678
42,48.494,145.392,98.000,189.000,65.159
43,164.133,151.813,99.160,201.860,209.227
44,116.172,140.833,66.880,216.960,147.646
45,297.358,124.205,43.540,213.900,382.823
46,515.314,127.497,47.050,201.820,646.431
47,49.560,136.825,121.000,161.320,60.364
48,227.548,144.708,101.310,163.066,281.497
49,222.219,131.465,65.080,191.620,281.432
50,235.542,127.878,64.780,230.860,308.831
51,77.270,174.372,142.000,201.000,94.627
52,119.903,153.771,85.237,214.950,152.239
53,137.488,143.996,72.200,210.000,174.294
54,200.903,141.113,87.390,210.860,256.244
55,88.461,161.265,79.920,209.000,115.227
56,115.639,157.424,93.000,220.480,145.861
57,203.568,143.946,64.480,214.000,259.128
58,35.704,137.085,86.780,188.000,44.061
59,112.442,155.214,119.260,193.049,144.332
60,118.837,164.588,92.000,205.000,151.683
61,165.732,139.057,72.600,215.182,209.435
62,55.954,143.154,85.150,204.170,72.219
63,378.892,147.018,61.880,240.000,477.910
64,207.831,133.867,59.340,224.720,267.447
65,108.712,147.436,83.040,212.530,139.645
66,60.751,135.752,103.370,198.640,77.482
67,118.837,137.285,72.470,190.000,149.738
68,256.858,130.995,60.180,190.200,319.783
69,98.054,148.043,120.000,185.000,124.113
70,243.535,129.787,72.940,181.000,303.064
71,63.948,152.726,114.320,188.960,81.996
72,367.701,137.351,71.180,230.000,458.070
73,70.343,122.969,86.000,179.000,88.025
74,158.804,131.690,72.080,211.730,197.141
75,362.905,130.211,41.240,193.640,458.120
76,616.565,120.344,47.000,199.000,769.448
77,59.152,145.193,96.000,197.340,71.811
78,292.029,123.657,47.010,218.220,371.856
79,71.941,163.990,89.610,214.000,91.958
80,144.416,126.451,65.740,216.000,186.247
81,449.768,147.662,73.380,229.940,579.901
82,84.198,161.865,133.760,198.000,107.107
83,70.343,147.554,111.000,193.000,88.799
84,63.948,173.625,128.120,191.350,84.492
85,57.020,169.869,118.000,206.050,73.587
86,60.218,164.181,133.640,198.220,76.379
87,99.119,150.495,113.000,198.980,124.892
88,26.645,143.523,106.808,165.920,32.522
89,48.494,166.176,139.080,197.000,62.396
90,123.633,134.157,66.700,218.460,155.950
91,312.279,125.856,8.220,251.688,407.198
92,386.352,130.014,56.000,234.820,490.793
