 ,Area,Mean,Min,Max,Length
1,170.528,150.865,65.183,199.257,235.290
2,31.974,157.867,112.157,178.900,44.176
3,47.428,146.839,117.751,178.660,65.845
4,103.915,149.566,101.534,189.528,144.878
5,108.712,160.690,102.081,203.404,151.815
6,35.171,158.417,115.780,211.152,48.831
7,117.238,155.316,100.800,176.595,162.721
8,80.468,149.140,105.124,184.318,110.728
9,141.218,151.398,104.862,196.200,194.542
10,241.937,155.937,102.015,198.089,335.594
11,134.291,156.869,101.230,219.970,188.654
12,262.187,144.930,87.303,186.307,365.377
13,138.554,142.778,101.724,182.010,193.118
14,92.192,147.689,101.417,173.040,127.174
15,144.416,148.925,106.043,183.978,200.256
16,66.080,140.260,114.357,177.199,92.197
17,76.738,126.183,92.224,157.945,106.195
18,94.323,144.647,108.989,183.967,131.026
19,129.495,158.271,97.150,211.322,178.656
20,94.856,141.073,84.138,189.652,133.298
21,303.753,164.101,101.930,210.836,420.231
22,75.672,147.939,62.470,207.590,103.706
23,412.465,169.461,105.440,236.863,569.054
24,45.296,133.618,92.651,177.455,61.991
25,71.409,125.302,69.800,181.083,98.062
26,84.198,150.368,98.613,193.620,115.101
27,21.849,134.400,102.737,189.788,29.589
28,222.219,158.130,87.755,237.450,307.360
29,156.140,142.577,71.628,239.114,216.198
30,178.521,143.368,79.270,231.301,246.235
31,95.922,114.930,53.495,159.667,132.138
32,197.173,140.212,73.200,204.270,272.220
33,260.055,134.263,60.365,247.829,358.615
34,141.751,141.205,85.000,175.896,195.211
35,59.685,130.929,90.750,191.337,81.439
36,101.251,135.996,87.000,189.326,139.903
37,158.271,138.031,78.280,177.400,218.667
38,180.653,154.250,85.495,189.785,248.980
39,35.704,123.033,90.378,172.143,48.536
40,209.430,167.671,93.880,225.719,287.939
41,358.109,184.091,96.805,224.323,493.517
42,274.976,165.448,97.668,227.103,377.696
43,112.442,180.200,128.030,225.256,153.713
44,40.500,179.385,138.206,214.000,56.105
45,36.237,174.949,146.383,226.851,49.714
46,92.192,172.560,102.278,239.933,127.119
47,322.404,183.763,110.166,242.607,447.191
48,335.194,179.780,102.833,240.325,463.928
49,148.679,163.294,80.400,227.251,203.852
50,28.777,139.687,109.543,191.499,39.375
51,334.661,165.394,99.910,235.785,462.497
52,97.521,148.410,105.288,199.260,133.870
53,53.290,116.951,79.570,178.892,73.198
54,180.120,141.596,86.085,199.390,248.642
55,442.840,159.802,98.177,227.570,613.700
56,1017.306,175.908,100.014,229.275,1395.651
57,138.554,164.156,85.323,229.321,189.458
58,372.497,160.241,104.305,230.617,511.003
59,132.692,151.543,67.317,209.793,182.269
60,92.192,143.530,102.218,186.480,126.753
61,323.470,144.443,68.187,204.857,442.553
62,102.317,145.956,110.034,175.635,139.749
63,318.141,157.538,87.328,206.803,436.499
64,264.318,157.869,115.000,205.400,364.312
65,384.754,157.034,71.506,251.715,529.333
66,255.792,148.054,69.000,233.710,350.922
67,46.895,143.636,90.335,183.291,64.170
68,110.843,136.910,90.284,183.444,152.065
69,491.867,144.434,72.303,180.080,675.567
70,46.362,160.535,100.900,191.317,62.971
71,313.878,153.007,77.850,202.322,430.279
72,356.510,148.580,75.381,199.706,490.909
73,457.228,151.202,78.655,195.044,630.770
74,119.370,146.872,101.649,184.004,164.283
75,134.291,133.319,65.594,193.370,182.215
76,79.402,152.073,77.415,232.699,108.946
77,698.099,155.593,78.032,253.845,964.749
78,238.739,133.526,76.900,201.520,328.316
79,284.036,139.893,73.125,191.750,391.018
80,144.949,143.043,105.761,197.601,198.060
81,357.043,136.328,92.680,190.062,492.657
82,39.435,113.568,68.395,160.760,54.189
83,219.022,147.858,65.560,214.712,302.235
84,263.253,158.165,79.132,233.111,364.308
85,133.225,156.286,105.732,237.402,183.593
86,415.662,157.890,93.700,221.700,573.536
87,249.397,167.532,79.190,232.000,342.400
88,304.819,150.036,76.708,221.640,418.382
89,33.040,132.306,92.446,158.148,45.017
90,150.811,137.481,76.855,225.218,207.506
91,144.416,138.950,80.210,183.958,200.183
92,98.054,141.083,86.312,199.477,134.685
93,179.587,132.137,57.979,178.467,247.929
94,307.483,145.438,89.010,196.176,424.028
95,126.830,144.413,95.461,177.160,173.072
96,364.504,131.956,66.774,202.954,499.245
97,122.567,133.766,90.955,178.291,168.301
98,96.988,135.686,75.382,176.840,132.978
99,40.500,135.105,85.729,166.164,55.485
100,126.830,150.218,106.248,191.889,173.591
101,133.758,146.299,72.353,190.027,177.686
102,196.107,145.712,89.780,184.343,268.141
103,86.330,170.678,95.372,233.569,118.128
104,317.075,161.541,83.293,227.656,434.226
105,112.442,167.642,92.612,230.834,153.799
