 ,Label,Area,Length
1,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0081-0095,160.936,204.550
2,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0197-0065,167.331,211.655
3,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0314-0059,181.719,231.589
4,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0401-0044,93.257,122.540
5,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0872-0041,141.218,170.060
6,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0839-0080,166.265,216.230
7,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0882-0093,69.277,86.181
8,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0848-0177,193.443,244.483
9,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0881-0327,338.924,423.521
10,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0938-0147,33.573,38.183
11,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0887-0459,136.422,163.696
12,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0947-0419,291.496,363.997
13,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0974-0524,159.870,197.490
14,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0947-0267,219.022,270.429
15,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0972-0258,114.573,144.310
16,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0147-1095,194.508,247.874
17,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0108-1200,236.075,293.812
18,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0042-1247,174.791,210.884
19,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0081-1349,222.752,274.219
20,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0071-1455,265.917,331.380
21,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0063-1539,187.581,226.220
22,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0017-1553,102.850,125.805
23,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0041-1601,114.041,141.504
24,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0056-1905,171.061,212.817
25,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0095-1923,187.581,226.528
26,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0132-1992,147.613,185.196
27,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0269-1922,392.747,493.099
28,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0207-1992,190.778,238.033
29,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0296-2006,168.396,213.607
30,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0467-2000,180.653,228.839
31,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0560-2006,170.528,209.356
32,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0444-1950,76.738,96.360
33,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0837-2024,91.126,112.273
34,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0878-1895,446.570,563.457
35,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0890-1701,286.167,375.087
36,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0912-1563,136.955,176.252
37,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0507-1008,93.257,118.956
38,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0480-1056,82.067,105.415
39,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0531-1077,161.469,202.056
40,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0627-1101,279.772,354.485
41,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0816-1098,457.228,566.862
42,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0705-1052,140.686,178.456
43,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0990-1170,201.969,267.198
44,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1137-1172,261.654,347.812
45,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1334-1151,305.352,394.568
46,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0549-0945,102.850,123.944
47,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0612-0908,263.785,326.610
48,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0704-0860,156.673,194.662
49,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:0830-0837,290.963,359.448
50,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1028-0809,298.424,387.787
51,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1244-0849,409.267,500.103
52,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1404-0893,207.298,267.398
53,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1515-0935,257.924,321.567
54,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1494-0936,41.033,52.997
55,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1623-0938,116.705,148.544
56,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1622-0999,233.410,292.520
57,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1706-1038,164.666,207.163
58,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1610-1095,186.515,232.375
59,Stack_Frontview01_Labeled_Covered_Area_overlay.tif:1581-1137,101.251,128.822
