 ,Label,Area,Length
1,Stack_Frontview_08_Covered_Area_overlay.jpg:0178-0048,98.054,121.264
2,Stack_Frontview_08_Covered_Area_overlay.jpg:0167-0159,168.396,205.350
3,Stack_Frontview_08_Covered_Area_overlay.jpg:0146-0185,21.316,25.440
4,Stack_Frontview_08_Covered_Area_overlay.jpg:0157-0134,34.106,46.754
5,Stack_Frontview_08_Covered_Area_overlay.jpg:0180-0139,19.184,26.071
6,Stack_Frontview_08_Covered_Area_overlay.jpg:0162-0277,118.837,162.268
7,Stack_Frontview_08_Covered_Area_overlay.jpg:0142-0279,31.974,44.199
8,Stack_Frontview_08_Covered_Area_overlay.jpg:0152-0385,148.146,202.205
9,Stack_Frontview_08_Covered_Area_overlay.jpg:0140-0351,43.165,58.855
10,Stack_Frontview_08_Covered_Area_overlay.jpg:0130-0402,29.309,39.918
11,Stack_Frontview_08_Covered_Area_overlay.jpg:0143-0595,629.888,866.755
12,Stack_Frontview_08_Covered_Area_overlay.jpg:0128-0513,93.790,128.266
13,Stack_Frontview_08_Covered_Area_overlay.jpg:0109-0484,26.645,35.914
14,Stack_Frontview_08_Covered_Area_overlay.jpg:0110-0484,28.777,39.171
15,Stack_Frontview_08_Covered_Area_overlay.jpg:0111-0549,35.704,48.570
16,Stack_Frontview_08_Covered_Area_overlay.jpg:0139-0557,21.316,28.499
17,Stack_Frontview_08_Covered_Area_overlay.jpg:0135-0631,48.494,65.722
18,Stack_Frontview_08_Covered_Area_overlay.jpg:0109-0657,63.948,87.816
19,Stack_Frontview_08_Covered_Area_overlay.jpg:0081-0646,16.520,22.635
20,Stack_Frontview_08_Covered_Area_overlay.jpg:0079-0688,73.540,100.915
21,Stack_Frontview_08_Covered_Area_overlay.jpg:0067-0759,47.428,64.658
22,Stack_Frontview_08_Covered_Area_overlay.jpg:0031-0815,161.469,219.626
23,Stack_Frontview_08_Covered_Area_overlay.jpg:0108-0771,80.468,110.146
24,Stack_Frontview_08_Covered_Area_overlay.jpg:0091-0840,71.941,98.087
25,Stack_Frontview_08_Covered_Area_overlay.jpg:0133-0811,71.409,97.172
26,Stack_Frontview_08_Covered_Area_overlay.jpg:0227-0852,542.492,741.566
27,Stack_Frontview_08_Covered_Area_overlay.jpg:0479-0862,440.708,607.474
28,Stack_Frontview_08_Covered_Area_overlay.jpg:0360-0879,36.237,49.048
29,Stack_Frontview_08_Covered_Area_overlay.jpg:0406-0878,61.284,83.045
30,Stack_Frontview_08_Covered_Area_overlay.jpg:0495-0893,57.020,77.042
31,Stack_Frontview_08_Covered_Area_overlay.jpg:0495-0914,13.322,18.196
32,Stack_Frontview_08_Covered_Area_overlay.jpg:0568-0913,46.895,63.241
33,Stack_Frontview_08_Covered_Area_overlay.jpg:0537-0909,53.823,74.057
34,Stack_Frontview_08_Covered_Area_overlay.jpg:0593-0866,110.310,149.652
35,Stack_Frontview_08_Covered_Area_overlay.jpg:0679-0905,261.654,356.443
