 ,Area,Mean,Min,Max,Length
1,144,186.129,129.000,207.440,137.148
2,67,89.691,50.700,147.000,62.604
3,106,203.421,163.758,218.450,101.308
4,22,241.955,219.000,253.000,22.000
5,151,240.397,137.780,255.000,146.910
6,242,213.618,96.940,255.000,233.950
7,54,202.696,164.454,243.876,51.474
8,28,171.536,165.000,178.000,28.000
9,207,244.425,184.250,255.000,199.108
10,91,201.729,177.000,233.530,83.115
11,86,253.236,234.000,255.000,83.223
12,166,202.091,182.000,216.990,156.472
13,220,212.226,207.400,218.580,212.255
14,71,208.608,126.261,220.000,65.855
15,34,235.990,227.000,244.000,29.891
16,64,210.749,202.137,220.000,61.298
17,326,237.989,151.800,255.000,315.430
18,153,204.721,0.000,249.000,140.470
19,496,180.066,92.170,211.650,468.603
20,61,226.275,202.740,232.590,56.722
21,85,172.100,134.310,224.000,80.616
22,95,157.305,39.480,212.354,92.590
23,410,132.804,57.600,224.000,388.724
24,69,149.444,111.000,174.000,62.598
25,125,249.928,208.859,255.000,119.912
26,81,254.634,252.000,255.000,78.419
27,52,194.588,174.000,203.820,48.687
28,49,163.600,138.769,225.720,46.665
29,219,247.193,182.950,255.000,214.828
30,190,244.044,202.800,255.000,182.666
31,333,187.404,162.100,201.000,324.999
32,39,183.050,171.000,191.000,37.472
33,26,160.190,140.907,183.417,25.179
