 ,Area,Mean,Min,Max,Length
1,87,228.586,186.000,255.000,85.184
2,35,254.656,253.000,255.000,34.162
3,236,249.396,200.000,255.000,230.507
4,25,254.703,254.000,255.000,24.162
5,48,172.904,162.000,181.850,46.120
6,14,214.899,191.391,240.500,13.306
7,7,170.754,144.202,191.555,6.733
8,46,175.719,170.500,183.500,45.316
9,8,198.476,192.346,205.051,7.105
10,134,254.161,248.250,255.000,133.398
11,71,229.683,204.400,254.500,70.629
12,28,212.894,189.775,227.000,27.536
13,20,196.652,187.168,204.271,18.981
14,13,209.288,198.095,227.576,12.807
15,69,185.746,150.163,221.866,68.739
16,122,169.056,107.876,220.500,120.899
17,100,208.632,159.798,229.840,99.675
18,93,175.412,160.945,189.630,91.907
19,77,227.510,195.976,254.913,76.698
20,252,247.447,204.500,255.000,251.049
21,40,130.550,111.500,151.710,39.206
22,19,130.620,115.500,137.090,18.627
23,17,136.144,124.125,141.000,16.363
24,31,134.403,124.000,148.875,30.500
25,21,124.917,111.300,141.688,20.603
26,24,197.803,184.179,222.367,24.029
27,73,205.756,182.666,229.304,72.145
28,32,203.424,183.786,226.064,31.833
29,12,168.843,161.180,179.030,11.136
30,374,198.303,178.050,224.800,371.187
31,96,251.203,223.480,255.000,96.248
32,76,207.638,162.960,253.875,75.736
33,73,216.829,189.800,241.750,72.688
34,92,229.008,202.212,252.375,91.573
35,39,218.350,185.023,242.630,38.585
36,78,195.029,178.000,203.722,77.658
37,35,200.946,196.016,207.676,34.266
38,46,195.616,188.036,201.625,45.256
39,126,178.573,132.361,197.056,125.441
40,98,234.356,195.918,255.000,97.823
41,30,249.538,241.667,255.000,29.387
42,110,231.698,181.105,255.000,109.710
43,35,206.182,185.167,226.995,34.378
44,49,202.108,186.310,229.320,48.383
45,76,252.777,236.000,255.000,75.316
46,255,226.082,131.350,255.000,251.864
47,38,181.839,159.030,201.790,37.420
48,45,193.689,186.500,204.000,44.500
49,51,241.715,221.050,255.000,49.903
50,58,227.373,207.607,253.920,57.084
51,191,231.546,177.074,255.000,187.842
52,85,219.765,190.900,250.000,83.676
53,28,202.966,168.700,238.980,26.782
54,48,213.319,188.375,231.305,47.374
55,114,185.614,168.000,198.810,112.554
56,165,248.332,219.315,255.000,163.845
57,156,254.949,254.000,255.000,154.279
58,76,201.514,156.530,253.000,74.418
59,15,188.160,180.250,192.475,14.484
60,19,176.157,168.096,181.377,18.259
61,11,167.482,162.000,171.307,11.079
62,12,191.025,185.083,198.303,11.040
63,85,185.098,151.166,199.633,84.562
64,216,184.545,121.300,221.430,213.752
65,142,170.485,124.080,187.000,140.657
66,62,225.170,198.234,244.000,61.887
67,103,222.005,203.050,242.087,102.826
68,91,235.425,204.499,255.000,89.995
69,174,194.513,159.334,232.320,172.974
70,37,147.367,136.750,156.000,36.613
71,400,197.138,169.500,226.790,396.060
72,53,220.555,206.389,245.370,52.277
73,43,253.571,250.594,255.000,42.544
74,58,238.992,212.108,254.176,57.095
75,123,242.909,183.991,255.000,122.277
76,29,254.186,248.807,255.000,28.656
77,47,243.229,221.608,252.361,46.520
78,81,215.996,135.646,253.618,80.339
79,48,231.325,203.583,242.405,47.582
80,166,176.212,148.023,193.357,165.624
81,38,147.443,127.625,161.250,37.644
82,49,202.108,186.310,229.320,48.383
83,76,252.777,236.000,255.000,75.316
84,255,226.082,131.350,255.000,251.864
85,38,181.839,159.030,201.790,37.420
86,45,193.689,186.500,204.000,44.500
87,51,241.715,221.050,255.000,49.903
88,58,227.373,207.607,253.920,57.084
89,191,231.546,177.074,255.000,187.842
90,85,219.765,190.900,250.000,83.676
91,28,202.966,168.700,238.980,26.782
92,48,213.319,188.375,231.305,47.374
93,114,185.614,168.000,198.810,112.554
94,165,248.332,219.315,255.000,163.845
95,156,254.949,254.000,255.000,154.279
96,76,201.514,156.530,253.000,74.418
97,15,188.160,180.250,192.475,14.484
98,19,176.157,168.096,181.377,18.259
99,11,167.482,162.000,171.307,11.079
100,12,191.025,185.083,198.303,11.040
101,85,185.098,151.166,199.633,84.562
102,216,184.545,121.300,221.430,213.752
103,142,170.485,124.080,187.000,140.657
104,62,225.170,198.234,244.000,61.887
105,103,222.005,203.050,242.087,102.826
106,91,235.425,204.499,255.000,89.995
107,174,194.513,159.334,232.320,172.974
108,37,147.367,136.750,156.000,36.613
109,400,197.138,169.500,226.790,396.060
110,53,220.555,206.389,245.370,52.277
111,43,253.571,250.594,255.000,42.544
112,58,238.992,212.108,254.176,57.095
113,123,242.909,183.991,255.000,122.277
114,29,254.186,248.807,255.000,28.656
115,47,243.229,221.608,252.361,46.520
116,81,215.996,135.646,253.618,80.339
117,48,231.325,203.583,242.405,47.582
118,166,176.212,148.023,193.357,165.624
119,38,147.443,127.625,161.250,37.644
120,49,202.108,186.310,229.320,48.383
121,76,252.777,236.000,255.000,75.316
122,255,226.082,131.350,255.000,251.864
123,38,181.839,159.030,201.790,37.420
124,45,193.689,186.500,204.000,44.500
125,51,241.715,221.050,255.000,49.903
126,58,227.373,207.607,253.920,57.084
127,191,231.546,177.074,255.000,187.842
128,85,219.765,190.900,250.000,83.676
129,28,202.966,168.700,238.980,26.782
130,48,213.319,188.375,231.305,47.374
131,114,185.614,168.000,198.810,112.554
132,165,248.332,219.315,255.000,163.845
133,156,254.949,254.000,255.000,154.279
134,76,201.514,156.530,253.000,74.418
135,15,188.160,180.250,192.475,14.484
136,19,176.157,168.096,181.377,18.259
137,11,167.482,162.000,171.307,11.079
138,12,191.025,185.083,198.303,11.040
139,85,185.098,151.166,199.633,84.562
140,216,184.545,121.300,221.430,213.752
141,142,170.485,124.080,187.000,140.657
142,62,225.170,198.234,244.000,61.887
143,103,222.005,203.050,242.087,102.826
144,91,235.425,204.499,255.000,89.995
145,174,194.513,159.334,232.320,172.974
146,37,147.367,136.750,156.000,36.613
147,400,197.138,169.500,226.790,396.060
148,53,220.555,206.389,245.370,52.277
149,43,253.571,250.594,255.000,42.544
150,58,238.992,212.108,254.176,57.095
151,123,242.909,183.991,255.000,122.277
152,29,254.186,248.807,255.000,28.656
153,47,243.229,221.608,252.361,46.520
154,81,215.996,135.646,253.618,80.339
155,48,231.325,203.583,242.405,47.582
156,166,176.212,148.023,193.357,165.624
157,38,147.443,127.625,161.250,37.644
