 ,Label,Area,Length
1,Stack_Frontview02_Delamination_overlay.jpg:0711-0872,36.770,45.426
2,Stack_Frontview02_Delamination_overlay.jpg:0894-0842,49.560,58.920
3,Stack_Frontview02_Delamination_overlay.jpg:1161-0837,39.435,49.925
4,Stack_Frontview02_Delamination_overlay.jpg:1403-1128,20.783,28.470
5,Stack_Frontview02_Delamination_overlay.jpg:1224-1134,46.362,58.491
6,Stack_Frontview02_Delamination_overlay.jpg:0042-0783,373.030,477.024
7,Stack_Frontview02_Delamination_overlay.jpg:0137-0018,163.600,201.429
8,Stack_Frontview02_Delamination_overlay.jpg:0344-1977,22.382,29.181
9,Stack_Frontview02_Delamination_overlay.jpg:0173-1934,12.790,15.847
10,Stack_Frontview02_Delamination_overlay.jpg:0929-1601,31.974,38.781
