 ,Area,Mean,Min,Max,Length
1,46,229.811,186.609,249.311,43.776
2,88,146.441,113.400,167.000,84.330
3,87,192.845,140.680,236.340,83.839
4,36,219.908,190.000,249.820,34.360
5,29,185.780,166.274,197.320,27.303
6,38,190.717,137.000,211.373,36.851
7,57,139.549,118.680,161.000,52.739
8,44,198.145,176.360,218.000,40.499
9,87,190.479,158.000,229.340,83.705
10,32,181.427,142.000,201.440,30.408
11,92,145.552,118.050,204.080,88.140
12,22,183.754,167.000,202.000,19.107
13,55,175.981,153.210,210.420,52.162
14,37,160.026,151.000,177.200,35.026
15,35,174.726,150.360,202.000,33.073
16,60,200.795,163.000,221.000,58.930
17,59,199.111,168.000,217.000,55.701
18,25,169.379,137.760,183.000,23.674
19,77,232.102,182.680,242.740,73.141
20,304,162.666,109.480,224.800,291.889
21,156,192.053,145.000,245.030,150.575
22,24,198.596,167.000,222.000,22.524
23,19,206.381,176.000,219.000,17.654
24,15,199.382,180.000,224.000,13.595
25,46,176.196,163.000,189.000,46.000
26,25,192.843,171.820,202.000,24.162
27,93,175.340,154.000,196.000,92.020
28,64,116.073,95.020,142.000,57.938
29,25,141.271,119.400,155.000,22.890
30,82,124.139,114.840,151.000,77.947
31,60,172.727,140.000,190.900,57.466
32,143,195.370,160.460,247.000,132.384
33,175,225.333,138.020,255.000,170.648
