 ,Area,Mean,Min,Max,Length
1,10,168.909,147.500,181.294,9.709
2,79,174.311,155.625,207.175,78.822
3,7,157.451,152.070,162.000,6.224
4,45,161.822,151.000,179.000,44.500
5,9,171.167,161.167,179.500,8.333
6,9,169.111,158.000,172.333,8.333
7,55,157.667,137.000,168.000,54.167
8,32,152.716,140.125,158.750,31.641
9,62,149.208,139.125,156.000,61.303
10,82,152.849,141.625,177.390,81.756
11,152,149.729,125.928,175.510,151.055
12,57,149.813,143.000,164.000,56.356
13,38,131.937,100.227,153.443,37.410
14,14,146.790,134.928,159.500,13.948
15,38,176.405,159.000,187.128,38.008
16,28,213.322,172.438,252.725,27.716
17,112,244.772,219.000,255.000,111.456
18,35,224.687,201.798,234.798,35.048
19,54,199.376,187.885,210.540,53.056
20,38,160.771,143.439,170.300,38.101
21,16,143.687,136.484,149.234,15.524
22,58,139.270,129.985,150.764,57.371
23,41,173.284,158.875,178.885,40.842
24,86,200.605,185.286,212.729,85.576
25,45,161.427,151.848,172.000,44.704
26,44,194.593,182.915,209.963,42.889
27,115,225.383,189.247,255.000,114.052
28,44,214.276,182.250,226.976,43.356
29,16,216.816,204.485,225.723,15.762
30,35,190.735,179.652,203.222,34.770
31,42,188.401,174.147,198.515,40.892
32,23,164.670,148.010,173.997,22.815
33,110,151.858,118.834,179.000,109.206
34,25,195.035,180.875,210.528,25.066
35,76,177.045,171.211,187.750,75.346
36,66,164.115,151.003,169.271,65.434
37,21,148.995,123.250,164.125,20.299
38,68,139.844,117.665,165.572,67.516
39,79,161.119,122.750,193.917,78.704
40,15,151.505,144.670,154.584,14.701
41,19,164.651,161.321,168.017,19.130
42,9,157.733,151.833,162.759,8.483
43,34,141.499,138.663,148.245,33.376
44,10,158.343,155.667,161.918,10.000
45,8,165.063,158.503,170.750,7.333
46,38,173.236,156.603,190.333,37.459
47,8,158.703,153.750,163.812,8.000
48,132,155.096,136.938,167.240,131.541
49,61,147.452,142.083,157.250,59.932
50,79,155.005,147.306,167.579,77.799
51,72,164.678,147.879,174.779,70.186
52,56,169.552,155.079,177.333,55.270
53,66,142.582,128.987,158.500,64.902
54,9,155.932,150.424,169.500,8.842
55,69,149.491,141.000,167.812,68.198
56,16,205.236,197.534,210.360,15.902
57,24,197.160,176.100,219.640,23.722
58,38,172.251,143.639,191.287,37.346
59,9,197.498,184.083,204.830,8.213
60,53,186.722,165.213,204.740,51.781
61,17,194.275,180.204,212.695,16.144
62,7,222.320,216.250,227.990,6.691
63,53,159.023,150.504,171.362,52.026
64,27,189.228,174.312,198.026,26.151
65,9,200.776,193.610,204.524,8.883
66,15,177.400,158.587,190.094,14.376
67,87,151.365,139.580,170.250,86.621
68,43,168.810,154.000,185.405,42.364
69,29,138.630,128.520,159.625,28.951
70,52,163.008,140.500,191.200,51.032
71,68,147.976,110.957,183.000,67.260
72,62,128.065,112.250,142.620,61.354
73,49,133.507,123.190,144.025,48.582
74,8,123.568,104.750,132.920,7.318
75,55,138.016,117.615,150.475,54.450
76,56,147.737,139.867,158.321,55.411
77,78,147.954,133.945,160.975,77.940
78,35,163.056,153.500,167.939,34.389
79,45,147.703,142.000,152.230,43.527
80,43,128.956,113.793,136.350,42.091
81,18,158.196,152.222,162.572,17.532
82,43,159.150,151.533,181.222,42.872
83,12,194.206,176.403,201.106,11.523
84,18,182.567,172.435,191.310,17.296
85,40,165.172,156.079,181.334,39.424
86,27,191.755,181.390,199.023,26.485
87,34,164.405,153.947,184.938,33.890
88,44,147.278,130.387,156.500,43.285
89,47,179.064,150.062,188.247,46.470
90,23,145.462,131.000,159.789,23.030
91,17,161.342,152.600,174.500,16.395
92,4,180.872,178.750,183.000,3.683
93,75,194.455,167.550,210.417,74.770
94,6,237.419,229.750,242.953,5.994
95,13,190.921,178.000,198.701,12.973
96,47,179.471,165.180,192.000,46.147
97,12,157.994,143.440,164.554,11.429
98,7,136.213,130.810,138.835,6.667
99,27,148.425,136.375,156.500,26.168
100,21,155.583,151.750,158.000,20.350
101,32,159.766,155.469,164.960,31.099
102,29,164.867,156.000,170.535,28.047
103,22,171.308,165.510,175.720,21.774
104,54,154.999,146.284,165.245,53.149
105,27,174.849,166.000,182.899,26.960
106,16,164.322,157.820,170.947,15.778
107,53,193.109,167.333,203.662,52.698
108,34,213.869,191.778,233.866,34.261
