 ,Label,Area,Length
1,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0125-0099,148.146,187.380
2,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0354-0099,89.527,119.843
3,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0471-0078,34.106,38.538
4,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0569-0038,84.198,96.401
5,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0015-0353,42.099,44.783
6,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0051-0437,64.481,73.164
7,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0108-0741,267.516,343.557
8,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0150-1028,39.435,51.214
9,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0150-1176,106.580,134.171
10,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0134-1341,57.020,75.688
11,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0117-1451,36.770,47.024
12,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0105-1535,47.428,57.843
13,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0081-1623,46.362,52.459
14,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0048-1685,28.244,30.723
15,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0009-1713,16.520,16.438
16,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0023-1881,23.980,29.504
17,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0099-1899,49.560,63.065
18,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0251-1931,102.850,126.239
19,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0414-1973,61.816,76.964
20,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0561-2007,95.922,112.152
21,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0669-2042,24.513,25.955
22,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1055-1322,80.468,94.599
23,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1134-1482,134.824,167.826
24,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1161-1623,25.579,31.640
25,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1164-1703,54.356,69.635
26,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1175-1796,35.171,45.530
27,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1184-1880,41.566,53.359
28,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1202-1988,57.020,70.835
29,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0965-1347,76.205,86.869
30,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0930-1415,19.717,22.600
31,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0927-1455,25.579,31.694
32,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0914-1509,23.980,31.177
33,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0902-1550,18.651,24.445
34,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0893-1593,14.388,18.037
35,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0893-1653,29.842,39.775
36,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0882-1707,15.987,21.900
37,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0881-1764,34.106,43.368
38,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0879-1836,31.974,39.420
39,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0872-1902,33.573,44.317
40,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0870-1952,9.592,10.220
41,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0860-1988,18.651,24.445
42,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0849-2035,18.651,23.502
43,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0963-0644,36.770,40.907
44,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0920-0548,39.968,48.115
45,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0891-0432,86.330,110.296
46,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0864-0302,48.494,61.594
47,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0843-0188,52.757,66.948
48,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0821-0096,34.106,44.745
49,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:0812-0021,27.711,33.967
50,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1065-0677,28.244,30.832
51,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1112-0596,54.356,64.484
52,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1134-0501,41.033,53.982
53,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1143-0410,39.968,54.750
54,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1164-0303,61.816,80.585
55,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1181-0143,28.777,34.401
56,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1188-0048,51.158,66.734
57,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1361-0026,59.685,70.011
58,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1473-0062,58.086,72.770
59,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1587-0078,50.625,66.928
60,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1725-0086,82.067,103.540
61,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1863-0093,49.560,56.818
62,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1938-0095,14.388,18.037
63,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:2001-0108,36.770,45.545
64,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:2034-0237,27.711,29.291
65,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:2015-0273,17.586,19.071
66,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1991-0318,26.112,32.049
67,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1974-0395,38.369,51.286
68,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1962-0482,36.770,47.024
69,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1950-0551,39.435,51.743
70,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1941-0629,38.369,51.024
71,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1935-0720,49.560,66.290
72,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1928-0810,33.573,40.971
73,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1916-0887,38.369,47.541
74,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1901-0948,19.717,23.289
75,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1892-1070,99.119,127.878
76,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1913-1208,39.968,52.155
77,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1925-1295,39.435,51.337
78,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1935-1380,47.428,62.742
79,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1950-1499,17.586,24.090
80,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1956-1542,18.651,23.330
81,Stack_Frontview03_Labeled_Substarte_covered_Overlay.jpg:1970-1586,19.184,19.669
