 ,Label,Area,Length
1,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0151-0037,41.033,53.645
2,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0137-0104,31.441,39.477
3,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0130-0179,47.961,62.803
4,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0122-0272,47.428,62.156
5,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0111-0377,63.948,83.396
6,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0094-0503,34.638,45.762
7,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0079-0591,59.152,75.807
8,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0034-0714,93.257,115.324
9,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0060-0878,57.553,73.925
10,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0168-0892,62.349,80.755
11,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0256-0896,25.046,33.308
12,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0347-0900,52.757,70.999
13,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0436-0910,27.178,35.404
14,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0508-0930,52.224,68.119
15,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0593-0981,65.014,81.732
16,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0563-1053,50.093,62.233
17,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0516-1084,10.125,12.191
18,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0468-1108,42.099,51.954
19,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0402-1135,34.106,43.934
20,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0337-1159,34.106,43.745
21,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0246-1183,60.218,75.967
22,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0161-1207,28.777,37.864
23,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0119-1218,13.322,17.228
24,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0047-1233,53.290,69.680
25,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0005-1349,33.040,42.499
26,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0063-1442,104.448,132.559
27,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0107-1529,7.993,10.457
28,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0116-1560,22.915,28.764
29,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0135-1648,43.165,56.422
30,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0162-1813,103.383,137.725
31,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0185-1951,39.968,53.061
32,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0191-2008,14.388,19.119
33,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0191-2008,14.388,19.119
34,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0228-2019,33.573,45.432
35,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0318-2020,42.632,58.400
36,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0432-2020,69.277,93.785
37,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0488-2020,4.796,6.570
38,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0537-2020,41.566,55.957
39,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0603-2014,33.573,41.088
40,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0688-1994,65.014,85.626
41,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0779-1980,35.171,46.281
42,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0825-1977,14.921,19.882
43,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0875-1969,37.836,49.931
44,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0932-1962,23.980,30.891
45,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0998-1957,42.099,56.591
46,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1056-1955,27.711,34.293
47,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1125-1956,43.165,55.923
48,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1233-1974,70.876,92.782
49,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1357-2001,69.810,89.397
50,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1517-2020,104.981,141.585
51,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1658-2019,75.672,101.532
52,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1994-1825,237.140,299.504
53,Stack_Frontview08_SubstrateCovered_Overlay.jpg:2024-0446,61.816,78.308
54,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1947-0194,223.285,297.939
55,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1396-0054,146.015,181.909
56,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1220-0123,67.678,83.389
57,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0842-0119,357.576,462.291
58,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0340-0037,222.752,287.906
59,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0867-0841,134.824,174.852
60,Stack_Frontview08_SubstrateCovered_Overlay.jpg:0911-0640,91.659,119.701
61,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1046-0540,290.963,367.598
62,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1169-0712,42.632,53.216
63,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1189-0838,94.856,126.618
64,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1198-0960,34.106,44.373
65,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1023-1256,685.309,890.075
66,Stack_Frontview08_SubstrateCovered_Overlay.jpg:1813-1049,591.519,764.766
