 ,Area,Mean,Min,Max,Length
1,352.780,245.822,111.625,255,470.901
2,49.560,212.531,118.738,255,62.980
3,104.448,248.846,127.935,255,141.618
4,90.060,249.068,111.950,255,120.100
5,37.303,246.618,115.027,255,49.524
6,154.541,219.419,111.950,255,197.661
7,28.777,231.061,112.698,255,35.294
8,120.435,214.297,111.565,255,155.617
9,133.225,218.493,111.568,255,167.420
10,49.027,224.974,111.565,255,62.743
11,167.863,238.603,111.641,255,222.963
12,269.647,241.432,112.543,255,362.900
13,36.770,255.000,255.000,255,50.370
14,320.806,239.480,111.577,255,437.139
15,145.482,244.697,112.079,255,196.683
16,320.806,230.055,111.563,255,430.360
17,298.424,247.640,112.605,255,404.639
