 ,Area,Mean,Min,Max,Length
1,274.443,129.206,108.000,166.040,369.763
2,3.197,126.513,110.972,155.706,3.771
3,4.263,136.029,120.103,163.908,5.498
4,1.599,145.935,142.250,153.195,2.190
5,2.664,140.202,134.584,149.805,3.407
6,4.796,153.075,147.750,161.350,6.044
7,1.599,148.327,140.280,160.062,2.140
8,414.063,126.008,111.000,155.000,555.528
9,155.074,138.198,124.000,144.000,209.939
10,7.993,123.771,103.000,153.227,10.525
11,3.197,122.424,113.389,136.861,3.867
12,5.862,111.177,94.375,122.950,7.824
13,4.796,123.021,106.250,144.500,6.350
14,5.329,110.112,86.600,144.800,6.854
15,4.796,96.629,73.680,122.150,6.307
16,8.526,112.084,103.482,132.500,11.713
17,223.818,134.108,108.000,140.593,304.726
18,2.132,115.660,105.333,129.501,2.444
19,2.664,118.976,108.092,132.188,3.194
20,2.132,132.710,125.222,143.222,2.575
21,2.664,105.588,86.445,129.166,3.163
22,4.263,95.957,62.000,155.000,5.670
23,2.132,116.506,102.408,135.626,2.820
24,4.263,97.191,75.918,126.094,5.798
25,1.599,124.855,120.031,134.000,1.938
26,2.132,108.169,99.015,127.542,2.425
27,2.664,108.222,90.219,133.141,3.290
28,5.862,111.003,102.650,122.167,7.465
29,4.796,103.253,62.787,160.664,6.205
30,7.461,127.706,86.904,188.094,9.773
31,6.395,108.334,93.191,167.660,8.177
32,2.664,127.000,118.000,136.556,3.184
33,4.263,99.235,89.947,126.583,5.675
34,3.730,106.876,95.072,123.875,4.739
35,10.125,102.921,85.080,149.250,13.083
36,3.197,113.077,102.295,128.000,3.675
37,6.395,90.909,80.500,106.890,8.347
38,10.658,98.230,85.500,124.452,14.031
39,5.862,96.468,77.160,129.750,7.996
40,5.329,94.526,78.265,127.500,7.350
41,4.796,120.511,110.312,134.500,6.396
42,3.730,117.829,99.816,137.758,4.612
43,4.263,95.219,72.250,135.999,5.779
44,6.395,125.424,97.531,174.114,8.614
45,2.664,137.871,120.520,167.772,3.164
46,4.263,109.309,96.603,123.404,5.506
47,3.197,80.605,63.429,111.000,4.402
48,2.664,80.925,60.717,104.784,3.638
49,3.730,110.497,94.066,129.771,5.143
