 ,Label,Area,Length
1,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0116-0317,2.132,2.684
2,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0134-0441,3.197,3.709
3,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0140-0567,2.132,2.920
4,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0151-0691,2.132,2.555
5,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0146-0745,2.664,3.252
6,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0659-0841,2.664,3.278
7,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0287-0136,2.664,3.278
8,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0850-0353,2.664,3.092
9,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0856-0414,4.263,4.857
10,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0851-0813,1.599,1.632
11,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0164-1273,2.664,2.654
12,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0162-1583,3.197,3.822
13,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0337-1930,1.066,1.460
14,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0865-1721,1.599,2.190
15,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0872-1594,3.197,4.380
16,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0878-1205,1.599,2.017
17,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0818-1168,1.599,1.868
18,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0721-1163,1.599,1.997
19,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0374-1180,1.599,1.868
20,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0172-1198,3.730,4.427
21,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:0170-1216,1.599,1.682
22,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1187-1646,4.263,4.725
23,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1178-1324,2.132,2.920
24,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1172-1244,2.132,2.920
25,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1245-1169,1.066,0.730
26,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1439-1181,1.599,1.647
27,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1603-1199,1.066,1.460
28,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1918-1221,2.132,2.176
29,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1931-1372,4.263,5.840
30,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1926-1401,4.263,5.112
31,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1941-1560,2.664,3.650
32,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1934-1627,1.599,1.647
33,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1177-0243,1.599,1.796
34,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1175-0232,1.066,1.217
35,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1180-0323,2.132,2.226
36,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1183-0360,1.066,1.039
37,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1184-0171,2.132,2.959
38,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1230-0132,1.066,1.561
39,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1325-0134,1.599,2.190
40,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1554-0117,1.599,1.703
41,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1670-0107,1.599,2.190
42,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1918-0133,2.132,2.358
43,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1920-0197,1.599,1.781
44,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1913-0311,1.066,1.217
45,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1919-0353,2.132,2.920
46,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1921-0382,1.066,1.460
47,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1924-0479,2.664,3.407
48,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1919-0578,1.066,1.460
49,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1919-0649,2.132,2.324
50,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1790-0912,1.599,1.938
51,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1379-0858,1.599,1.546
52,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1172-0714,1.599,1.871
53,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1176-0673,2.132,2.811
54,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1184-0538,1.066,1.460
55,Stack_Frontview05_Labeled_unCovered_Area_Overlay.jpg:1184-0447,1.599,1.703
