 ,Label,Area,Length
1,Stack_Frontview09_Uncovered_Overlay.jpg:0129-0134,1.599,1.810
2,Stack_Frontview09_Uncovered_Overlay.jpg:0116-0222,1.599,2.239
3,Stack_Frontview09_Uncovered_Overlay.jpg:0093-0319,1.066,1.130
4,Stack_Frontview09_Uncovered_Overlay.jpg:0060-0456,3.730,5.110
5,Stack_Frontview09_Uncovered_Overlay.jpg:0001-0875,1.066,0.730
6,Stack_Frontview09_Uncovered_Overlay.jpg:0175-0892,2.132,2.433
7,Stack_Frontview09_Uncovered_Overlay.jpg:0327-0921,1.599,1.546
8,Stack_Frontview09_Uncovered_Overlay.jpg:0873-0835,1.066,1.460
9,Stack_Frontview09_Uncovered_Overlay.jpg:0906-0722,2.664,3.038
10,Stack_Frontview09_Uncovered_Overlay.jpg:1193-0878,1.066,1.602
11,Stack_Frontview09_Uncovered_Overlay.jpg:1199-0894,1.599,1.993
12,Stack_Frontview09_Uncovered_Overlay.jpg:1184-1039,1.066,1.093
13,Stack_Frontview09_Uncovered_Overlay.jpg:1162-1158,2.132,2.433
14,Stack_Frontview09_Uncovered_Overlay.jpg:0942-1282,1.599,1.884
15,Stack_Frontview09_Uncovered_Overlay.jpg:0898-1173,2.132,2.249
16,Stack_Frontview09_Uncovered_Overlay.jpg:0865-1039,1.066,1.095
17,Stack_Frontview09_Uncovered_Overlay.jpg:0470-0014,1.066,1.460
18,Stack_Frontview09_Uncovered_Overlay.jpg:0692-0108,1.066,1.460
19,Stack_Frontview09_Uncovered_Overlay.jpg:1154-0138,1.599,2.243
20,Stack_Frontview09_Uncovered_Overlay.jpg:1230-0117,1.599,1.781
21,Stack_Frontview09_Uncovered_Overlay.jpg:1279-0095,1.066,1.340
22,Stack_Frontview09_Uncovered_Overlay.jpg:1922-0048,1.599,1.519
23,Stack_Frontview09_Uncovered_Overlay.jpg:1960-0160,1.066,1.277
24,Stack_Frontview09_Uncovered_Overlay.jpg:1984-0229,2.132,2.309
25,Stack_Frontview09_Uncovered_Overlay.jpg:2045-0392,3.197,3.636
26,Stack_Frontview09_Uncovered_Overlay.jpg:1927-0910,2.132,2.361
27,Stack_Frontview09_Uncovered_Overlay.jpg:1885-1167,1.599,1.882
28,Stack_Frontview09_Uncovered_Overlay.jpg:2046-1715,2.664,3.520
29,Stack_Frontview09_Uncovered_Overlay.jpg:2042-1893,2.132,2.369
30,Stack_Frontview09_Uncovered_Overlay.jpg:1292-2009,1.066,1.274
31,Stack_Frontview09_Uncovered_Overlay.jpg:1168-1979,1.066,0.888
32,Stack_Frontview09_Uncovered_Overlay.jpg:1097-1967,1.599,2.190
33,Stack_Frontview09_Uncovered_Overlay.jpg:1031-1966,1.066,0.730
34,Stack_Frontview09_Uncovered_Overlay.jpg:0857-1985,1.066,1.460
35,Stack_Frontview09_Uncovered_Overlay.jpg:0803-1996,2.664,3.278
36,Stack_Frontview09_Uncovered_Overlay.jpg:0195-1977,5.329,6.585
37,Stack_Frontview09_Uncovered_Overlay.jpg:0194-1941,3.730,5.110
38,Stack_Frontview09_Uncovered_Overlay.jpg:0126-1689,3.730,5.110
39,Stack_Frontview09_Uncovered_Overlay.jpg:0195-1197,1.599,1.818
40,Stack_Frontview09_Uncovered_Overlay.jpg:0000-1305,3.730,5.110
41,Stack_Frontview09_Uncovered_Overlay.jpg:1131-0655,1.599,1.725
42,Stack_Frontview09_Uncovered_Overlay.jpg:0007-0742,3.197,3.451
43,Stack_Frontview09_Uncovered_Overlay.jpg:0004-0698,2.664,3.308
