,Area,Mean,Min,Max,Length
1,36.0,255.0,255,255,48.6
2,134.0,255.0,255,255,179.55
3,3.0,255.0,255,255,4.050000000000001
4,1.0,255.0,255,255,1.35
5,1.0,255.0,255,255,1.35
6,1.0,255.0,255,255,1.35
7,14.0,255.0,255,255,18.900000000000002
8,9.0,255.0,255,255,12.15
9,5.0,255.0,255,255,6.75
10,1.0,255.0,255,255,1.35
11,3.0,255.0,255,255,4.050000000000001
12,7967.0,255.0,255,255,7786.8
13,4.0,255.0,255,255,5.4
14,1.0,255.0,255,255,1.35
15,2.0,255.0,255,255,2.7
16,11.0,255.0,255,255,14.850000000000001
17,4154.0,255.0,255,255,4197.150000000001
18,6.0,255.0,255,255,8.100000000000001
19,2.0,255.0,255,255,2.7
20,1.0,255.0,255,255,1.35
21,316.0,255.0,255,255,405.0
22,2.0,255.0,255,255,2.7
23,2.0,255.0,255,255,2.7
24,1.0,255.0,255,255,1.35
25,5.0,255.0,255,255,6.75
26,3.0,255.0,255,255,4.050000000000001
27,2.0,255.0,255,255,2.7
28,1.0,255.0,255,255,1.35
29,2.0,255.0,255,255,2.7
30,14.0,255.0,255,255,18.900000000000002
31,34.0,255.0,255,255,45.900000000000006
32,3.0,255.0,255,255,4.050000000000001
33,2.0,255.0,255,255,2.7
34,11.0,255.0,255,255,14.850000000000001
35,16.0,255.0,255,255,21.6
36,1.0,255.0,255,255,1.35
37,1.0,255.0,255,255,1.35
38,5.0,255.0,255,255,6.75
39,3760.0,255.0,255,255,4302.450000000001
40,3.0,255.0,255,255,4.050000000000001
41,12.0,255.0,255,255,16.200000000000003
42,51.0,255.0,255,255,68.85000000000001
43,2.0,255.0,255,255,2.7
44,5.0,255.0,255,255,6.75
45,1.0,255.0,255,255,1.35
46,2.0,255.0,255,255,2.7
47,18.0,255.0,255,255,24.3
48,11.0,255.0,255,255,14.850000000000001
49,5.0,255.0,255,255,6.75
50,2.0,255.0,255,255,2.7
51,5.0,255.0,255,255,6.75
52,9.0,255.0,255,255,12.15
53,10.0,255.0,255,255,13.5
54,3.0,255.0,255,255,4.050000000000001
55,1.0,255.0,255,255,1.35
56,1.0,255.0,255,255,1.35
57,8.0,255.0,255,255,10.8
58,75.0,255.0,255,255,97.2
59,1.0,255.0,255,255,1.35
60,37.0,255.0,255,255,48.6
61,1.0,255.0,255,255,1.35
62,2.0,255.0,255,255,2.7
63,6.0,255.0,255,255,8.100000000000001
64,384.0,255.0,255,255,518.4000000000001
65,221.0,255.0,255,255,298.35
66,5.0,255.0,255,255,6.75
67,10.0,255.0,255,255,13.5
68,1.0,255.0,255,255,1.35
69,1.0,255.0,255,255,1.35
70,140.0,255.0,255,255,186.3
71,5.0,255.0,255,255,6.75
72,14.0,255.0,255,255,18.900000000000002
73,3.0,255.0,255,255,4.050000000000001
74,3.0,255.0,255,255,4.050000000000001
75,1.0,255.0,255,255,1.35
76,285.0,255.0,255,255,355.05
77,1.0,255.0,255,255,1.35
78,79.0,255.0,255,255,106.65
79,12.0,255.0,255,255,16.200000000000003
80,415.0,255.0,255,255,533.25
81,246.0,255.0,255,255,332.1
82,8032.0,255.0,255,255,8058.150000000001
83,5.0,255.0,255,255,6.75
84,4.0,255.0,255,255,5.4
85,4.0,255.0,255,255,5.4
86,1.0,255.0,255,255,1.35
87,40.0,255.0,255,255,51.300000000000004
88,2.0,255.0,255,255,2.7
89,2.0,255.0,255,255,2.7
90,2.0,255.0,255,255,2.7
91,2.0,255.0,255,255,2.7
92,3.0,255.0,255,255,4.050000000000001
93,40.0,255.0,255,255,54.0
94,1.0,255.0,255,255,1.35
95,1.0,255.0,255,255,1.35
96,6.0,255.0,255,255,8.100000000000001
97,1.0,255.0,255,255,1.35
98,1.0,255.0,255,255,1.35
99,1.0,255.0,255,255,1.35
100,50.0,255.0,255,255,67.5
101,5.0,255.0,255,255,6.75
102,6.0,255.0,255,255,8.100000000000001
103,21.0,255.0,255,255,28.35
104,1.0,255.0,255,255,1.35
105,1.0,255.0,255,255,1.35
106,1.0,255.0,255,255,1.35
107,7.0,255.0,255,255,9.450000000000001
108,6.0,255.0,255,255,8.100000000000001
109,14.0,255.0,255,255,16.200000000000003
110,5.0,255.0,255,255,6.75
111,1.0,255.0,255,255,1.35
112,4.0,255.0,255,255,5.4
113,1.0,255.0,255,255,1.35
114,39.0,255.0,255,255,52.650000000000006
115,26.0,255.0,255,255,35.1
116,1.0,255.0,255,255,1.35
117,3.0,255.0,255,255,4.050000000000001
118,2.0,255.0,255,255,2.7
119,2.0,255.0,255,255,2.7
120,1.0,255.0,255,255,1.35
121,2.0,255.0,255,255,2.7
122,56.0,255.0,255,255,66.15
123,1.0,255.0,255,255,1.35
124,11.0,255.0,255,255,14.850000000000001
125,2.0,255.0,255,255,2.7
126,8.0,255.0,255,255,10.8
127,1.0,255.0,255,255,1.35
128,2.0,255.0,255,255,2.7
129,1.0,255.0,255,255,1.35
130,3.0,255.0,255,255,4.050000000000001
131,22.0,255.0,255,255,29.700000000000003
132,2.0,255.0,255,255,2.7
133,26.0,255.0,255,255,35.1
134,2.0,255.0,255,255,2.7
135,1.0,255.0,255,255,1.35
136,16.0,255.0,255,255,21.6
137,17.0,255.0,255,255,22.950000000000003
138,1.0,255.0,255,255,1.35
139,3.0,255.0,255,255,4.050000000000001
140,11.0,255.0,255,255,14.850000000000001
141,14.0,255.0,255,255,18.900000000000002
142,2.0,255.0,255,255,2.7
143,1.0,255.0,255,255,1.35
144,9.0,255.0,255,255,12.15
145,4.0,255.0,255,255,5.4
146,11.0,255.0,255,255,14.850000000000001
147,3.0,255.0,255,255,4.050000000000001
148,9.0,255.0,255,255,12.15
149,2.0,255.0,255,255,2.7
150,4.0,255.0,255,255,5.4
151,1.0,255.0,255,255,1.35
152,1.0,255.0,255,255,1.35
153,3.0,255.0,255,255,4.050000000000001
154,3.0,255.0,255,255,4.050000000000001
155,2.0,255.0,255,255,2.7
156,2.0,255.0,255,255,2.7
157,6.0,255.0,255,255,8.100000000000001
158,8.0,255.0,255,255,10.8
159,14.0,255.0,255,255,18.900000000000002
160,18.0,255.0,255,255,24.3
161,1.0,255.0,255,255,1.35
162,3.0,255.0,255,255,4.050000000000001
163,3.0,255.0,255,255,4.050000000000001
164,7.0,255.0,255,255,9.450000000000001
165,1.0,255.0,255,255,1.35
166,1.0,255.0,255,255,1.35
167,5.0,255.0,255,255,6.75
168,3.0,255.0,255,255,4.050000000000001
169,2.0,255.0,255,255,2.7
170,10.0,255.0,255,255,13.5
171,7.0,255.0,255,255,9.450000000000001
172,5.0,255.0,255,255,6.75
173,2.0,255.0,255,255,2.7
174,1.0,255.0,255,255,1.35
175,10.0,255.0,255,255,13.5
176,2.0,255.0,255,255,2.7
177,5.0,255.0,255,255,6.75
178,5.0,255.0,255,255,6.75
179,4.0,255.0,255,255,5.4
180,1.0,255.0,255,255,1.35
181,8.0,255.0,255,255,10.8
182,1.0,255.0,255,255,1.35
183,2.0,255.0,255,255,2.7
184,1.0,255.0,255,255,1.35
185,1.0,255.0,255,255,1.35
186,3.0,255.0,255,255,4.050000000000001
187,2.0,255.0,255,255,2.7
188,4.0,255.0,255,255,5.4
189,12.0,255.0,255,255,16.200000000000003
190,1.0,255.0,255,255,1.35
191,11.0,255.0,255,255,14.850000000000001
192,15.0,255.0,255,255,20.25
193,9.0,255.0,255,255,12.15
194,1.0,255.0,255,255,1.35
195,8.0,255.0,255,255,10.8
196,1.0,255.0,255,255,1.35
197,1.0,255.0,255,255,1.35
198,6.0,255.0,255,255,8.100000000000001
199,1.0,255.0,255,255,1.35
200,3.0,255.0,255,255,4.050000000000001
201,1.0,255.0,255,255,1.35
202,1.0,255.0,255,255,1.35
203,2.0,255.0,255,255,2.7
204,3.0,255.0,255,255,4.050000000000001
205,8.0,255.0,255,255,10.8
206,1.0,255.0,255,255,1.35
207,5.0,255.0,255,255,6.75
208,2.0,255.0,255,255,2.7
209,7.0,255.0,255,255,9.450000000000001
210,1.0,255.0,255,255,1.35
211,8.0,255.0,255,255,10.8
212,2.0,255.0,255,255,2.7
213,1.0,255.0,255,255,1.35
214,1.0,255.0,255,255,1.35
215,1.0,255.0,255,255,1.35
216,1.0,255.0,255,255,1.35
217,2.0,255.0,255,255,2.7
218,1.0,255.0,255,255,1.35
219,1.0,255.0,255,255,1.35
220,10.0,255.0,255,255,13.5
221,1.0,255.0,255,255,1.35
222,5.0,255.0,255,255,6.75
223,1.0,255.0,255,255,1.35
224,1.0,255.0,255,255,1.35
225,2.0,255.0,255,255,2.7
226,2.0,255.0,255,255,2.7
227,1.0,255.0,255,255,1.35
228,1.0,255.0,255,255,1.35
229,6.0,255.0,255,255,8.100000000000001
230,1.0,255.0,255,255,1.35
231,1.0,255.0,255,255,1.35
232,1.0,255.0,255,255,1.35
233,6.0,255.0,255,255,8.100000000000001
234,21.0,255.0,255,255,27.0
235,7.0,255.0,255,255,9.450000000000001
236,5.0,255.0,255,255,6.75
237,3.0,255.0,255,255,4.050000000000001
238,1.0,255.0,255,255,1.35
239,1.0,255.0,255,255,1.35
240,1.0,255.0,255,255,1.35
241,5.0,255.0,255,255,6.75
242,2147.0,255.0,255,255,2278.8
243,1.0,255.0,255,255,1.35
244,1.0,255.0,255,255,1.35
245,1.0,255.0,255,255,1.35
246,10.0,255.0,255,255,13.5
247,1.0,255.0,255,255,1.35
248,2.0,255.0,255,255,2.7
249,4.0,255.0,255,255,5.4
250,2.0,255.0,255,255,2.7
251,6.0,255.0,255,255,8.100000000000001
252,1.0,255.0,255,255,1.35
253,15.0,255.0,255,255,20.25
254,2.0,255.0,255,255,2.7
255,3.0,255.0,255,255,4.050000000000001
256,4.0,255.0,255,255,5.4
257,2.0,255.0,255,255,2.7
258,2.0,255.0,255,255,2.7
259,1.0,255.0,255,255,1.35
