,Area,Mean,Min,Max,Length
1,1.0,255.0,255,255,1.35
2,5.0,255.0,255,255,6.75
3,3.0,255.0,255,255,4.050000000000001
4,1.0,255.0,255,255,1.35
5,1.0,255.0,255,255,1.35
6,9.0,255.0,255,255,12.15
7,1.0,255.0,255,255,1.35
8,275.0,255.0,255,255,306.45000000000005
9,39.0,255.0,255,255,52.650000000000006
10,1.0,255.0,255,255,1.35
11,1.0,255.0,255,255,1.35
12,1.0,255.0,255,255,1.35
13,8.0,255.0,255,255,10.8
14,3.0,255.0,255,255,4.050000000000001
15,33.0,255.0,255,255,43.2
16,3.0,255.0,255,255,4.050000000000001
17,1.0,255.0,255,255,1.35
18,4.0,255.0,255,255,5.4
19,9.0,255.0,255,255,12.15
20,2.0,255.0,255,255,2.7
21,1.0,255.0,255,255,1.35
22,2.0,255.0,255,255,2.7
23,1.0,255.0,255,255,1.35
24,1.0,255.0,255,255,1.35
25,2.0,255.0,255,255,2.7
26,16.0,255.0,255,255,21.6
27,1.0,255.0,255,255,1.35
28,1.0,255.0,255,255,1.35
29,1.0,255.0,255,255,1.35
30,2988.0,255.0,255,255,3323.7000000000003
31,1.0,255.0,255,255,1.35
32,1.0,255.0,255,255,1.35
33,1.0,255.0,255,255,1.35
34,1.0,255.0,255,255,1.35
35,2.0,255.0,255,255,2.7
36,51.0,255.0,255,255,68.85000000000001
37,2.0,255.0,255,255,2.7
38,5.0,255.0,255,255,6.75
39,1.0,255.0,255,255,1.35
40,2.0,255.0,255,255,2.7
41,14.0,255.0,255,255,18.900000000000002
42,11.0,255.0,255,255,14.850000000000001
43,5.0,255.0,255,255,6.75
44,2.0,255.0,255,255,2.7
45,4.0,255.0,255,255,5.4
46,9.0,255.0,255,255,12.15
47,10.0,255.0,255,255,13.5
48,2.0,255.0,255,255,2.7
49,1.0,255.0,255,255,1.35
50,5.0,255.0,255,255,6.75
51,40.0,255.0,255,255,51.300000000000004
52,1.0,255.0,255,255,1.35
53,1.0,255.0,255,255,1.35
54,22.0,255.0,255,255,29.700000000000003
55,4.0,255.0,255,255,5.4
56,297.0,255.0,255,255,400.95000000000005
57,8.0,255.0,255,255,10.8
58,1.0,255.0,255,255,1.35
59,1.0,255.0,255,255,1.35
60,2.0,255.0,255,255,2.7
61,3.0,255.0,255,255,4.050000000000001
62,8.0,255.0,255,255,10.8
63,2.0,255.0,255,255,2.7
64,2.0,255.0,255,255,2.7
65,29.0,255.0,255,255,39.150000000000006
66,5.0,255.0,255,255,6.75
67,1.0,255.0,255,255,1.35
68,7.0,255.0,255,255,9.450000000000001
69,543.0,255.0,255,255,657.45
70,3.0,255.0,255,255,4.050000000000001
71,1.0,255.0,255,255,1.35
72,2.0,255.0,255,255,2.7
73,2.0,255.0,255,255,2.7
74,2.0,255.0,255,255,2.7
75,3.0,255.0,255,255,4.050000000000001
76,2.0,255.0,255,255,2.7
77,5.0,255.0,255,255,6.75
78,1.0,255.0,255,255,1.35
79,2.0,255.0,255,255,2.7
80,2.0,255.0,255,255,2.7
81,1.0,255.0,255,255,1.35
82,7.0,255.0,255,255,9.450000000000001
83,6.0,255.0,255,255,8.100000000000001
84,1.0,255.0,255,255,1.35
85,11.0,255.0,255,255,14.850000000000001
86,2.0,255.0,255,255,2.7
87,1.0,255.0,255,255,1.35
88,2.0,255.0,255,255,2.7
89,1.0,255.0,255,255,1.35
90,9.0,255.0,255,255,12.15
91,77.0,255.0,255,255,102.60000000000001
92,2.0,255.0,255,255,2.7
93,2.0,255.0,255,255,2.7
94,2.0,255.0,255,255,2.7
95,1.0,255.0,255,255,1.35
96,10.0,255.0,255,255,13.5
97,54.0,255.0,255,255,62.1
98,8.0,255.0,255,255,10.8
99,33.0,255.0,255,255,44.550000000000004
100,4.0,255.0,255,255,5.4
101,1.0,255.0,255,255,1.35
102,1.0,255.0,255,255,1.35
103,1.0,255.0,255,255,1.35
104,2.0,255.0,255,255,2.7
105,1.0,255.0,255,255,1.35
106,15.0,255.0,255,255,20.25
107,3.0,255.0,255,255,4.050000000000001
108,1.0,255.0,255,255,1.35
109,4.0,255.0,255,255,5.4
110,5.0,255.0,255,255,6.75
111,2.0,255.0,255,255,2.7
112,20.0,255.0,255,255,27.0
113,1.0,255.0,255,255,1.35
114,1.0,255.0,255,255,1.35
115,1.0,255.0,255,255,1.35
116,7.0,255.0,255,255,9.450000000000001
117,3.0,255.0,255,255,4.050000000000001
118,8.0,255.0,255,255,10.8
119,5.0,255.0,255,255,6.75
120,1.0,255.0,255,255,1.35
121,1.0,255.0,255,255,1.35
122,1.0,255.0,255,255,1.35
123,3.0,255.0,255,255,4.050000000000001
124,2.0,255.0,255,255,2.7
125,1.0,255.0,255,255,1.35
126,2.0,255.0,255,255,2.7
127,8.0,255.0,255,255,10.8
128,1.0,255.0,255,255,1.35
129,1.0,255.0,255,255,1.35
130,2.0,255.0,255,255,2.7
131,1.0,255.0,255,255,1.35
132,1.0,255.0,255,255,1.35
133,1.0,255.0,255,255,1.35
134,1.0,255.0,255,255,1.35
135,1.0,255.0,255,255,1.35
136,6.0,255.0,255,255,8.100000000000001
137,2.0,255.0,255,255,2.7
138,2.0,255.0,255,255,2.7
139,8.0,255.0,255,255,10.8
140,1.0,255.0,255,255,1.35
141,1.0,255.0,255,255,1.35
142,3.0,255.0,255,255,4.050000000000001
143,22.0,255.0,255,255,29.700000000000003
144,2.0,255.0,255,255,2.7
145,1.0,255.0,255,255,1.35
146,2.0,255.0,255,255,2.7
147,4.0,255.0,255,255,5.4
148,1.0,255.0,255,255,1.35
149,1.0,255.0,255,255,1.35
150,3.0,255.0,255,255,4.050000000000001
151,1.0,255.0,255,255,1.35
152,5.0,255.0,255,255,6.75
153,8.0,255.0,255,255,10.8
154,1.0,255.0,255,255,1.35
155,1.0,255.0,255,255,1.35
156,5.0,255.0,255,255,6.75
157,1.0,255.0,255,255,1.35
158,10.0,255.0,255,255,13.5
159,5.0,255.0,255,255,6.75
160,2.0,255.0,255,255,2.7
161,2.0,255.0,255,255,2.7
162,1.0,255.0,255,255,1.35
163,1.0,255.0,255,255,1.35
164,6.0,255.0,255,255,8.100000000000001
165,1.0,255.0,255,255,1.35
166,2.0,255.0,255,255,2.7
167,11.0,255.0,255,255,14.850000000000001
168,1.0,255.0,255,255,1.35
169,5.0,255.0,255,255,6.75
170,12.0,255.0,255,255,16.200000000000003
171,1.0,255.0,255,255,1.35
172,7.0,255.0,255,255,9.450000000000001
173,1.0,255.0,255,255,1.35
174,2.0,255.0,255,255,2.7
175,2.0,255.0,255,255,2.7
176,2.0,255.0,255,255,2.7
177,1.0,255.0,255,255,1.35
178,1.0,255.0,255,255,1.35
179,6.0,255.0,255,255,8.100000000000001
180,2.0,255.0,255,255,2.7
181,6.0,255.0,255,255,8.100000000000001
182,2.0,255.0,255,255,2.7
183,1.0,255.0,255,255,1.35
184,1.0,255.0,255,255,1.35
