,Area,Mean,Min,Max,Length
1,2811884.0,255.0,255,255,568525.5
2,2.0,255.0,255,255,2.7
3,1.0,255.0,255,255,1.35
4,9.0,255.0,255,255,12.15
5,4.0,255.0,255,255,5.4
6,1.0,255.0,255,255,1.35
7,1.0,255.0,255,255,1.35
8,1.0,255.0,255,255,1.35
9,1.0,255.0,255,255,1.35
10,1.0,255.0,255,255,1.35
11,2.0,255.0,255,255,2.7
12,1.0,255.0,255,255,1.35
13,1.0,255.0,255,255,1.35
14,1.0,255.0,255,255,1.35
15,1.0,255.0,255,255,1.35
16,36.0,255.0,255,255,48.6
17,3.0,255.0,255,255,4.050000000000001
18,3.0,255.0,255,255,4.050000000000001
19,1.0,255.0,255,255,1.35
20,2.0,255.0,255,255,2.7
21,1.0,255.0,255,255,1.35
22,1.0,255.0,255,255,1.35
23,3.0,255.0,255,255,4.050000000000001
24,1.0,255.0,255,255,1.35
25,2.0,255.0,255,255,2.7
26,4.0,255.0,255,255,5.4
27,3.0,255.0,255,255,4.050000000000001
28,1.0,255.0,255,255,1.35
29,2.0,255.0,255,255,2.7
30,2.0,255.0,255,255,2.7
31,1.0,255.0,255,255,1.35
32,1.0,255.0,255,255,1.35
33,1.0,255.0,255,255,1.35
34,1.0,255.0,255,255,1.35
35,1.0,255.0,255,255,1.35
36,2.0,255.0,255,255,2.7
37,6.0,255.0,255,255,8.100000000000001
38,10.0,255.0,255,255,13.5
39,1.0,255.0,255,255,1.35
40,4.0,255.0,255,255,5.4
41,10.0,255.0,255,255,13.5
42,1.0,255.0,255,255,1.35
43,2.0,255.0,255,255,2.7
44,8.0,255.0,255,255,10.8
45,4.0,255.0,255,255,5.4
46,2.0,255.0,255,255,2.7
47,1.0,255.0,255,255,1.35
48,2.0,255.0,255,255,2.7
49,1.0,255.0,255,255,1.35
50,1.0,255.0,255,255,1.35
51,18.0,255.0,255,255,21.6
52,1.0,255.0,255,255,1.35
53,15.0,255.0,255,255,20.25
54,1.0,255.0,255,255,1.35
