,Area,Mean,Min,Max,Length
1,24.0,255.0,255,255,32.400000000000006
2,98.0,255.0,255,255,132.3
3,1.0,255.0,255,255,1.35
4,19.0,255.0,255,255,25.650000000000002
5,6.0,255.0,255,255,8.100000000000001
6,15.0,255.0,255,255,20.25
7,1.0,255.0,255,255,1.35
8,3.0,255.0,255,255,4.050000000000001
9,1.0,255.0,255,255,1.35
10,2.0,255.0,255,255,2.7
11,1.0,255.0,255,255,1.35
12,6.0,255.0,255,255,8.100000000000001
13,11.0,255.0,255,255,14.850000000000001
14,3.0,255.0,255,255,4.050000000000001
15,1.0,255.0,255,255,1.35
16,6.0,255.0,255,255,8.100000000000001
17,2.0,255.0,255,255,2.7
18,1.0,255.0,255,255,1.35
19,2.0,255.0,255,255,2.7
20,2.0,255.0,255,255,2.7
21,5.0,255.0,255,255,6.75
22,1.0,255.0,255,255,1.35
23,9.0,255.0,255,255,12.15
24,1.0,255.0,255,255,1.35
25,4.0,255.0,255,255,5.4
26,7.0,255.0,255,255,9.450000000000001
27,62.0,255.0,255,255,79.65
28,1.0,255.0,255,255,1.35
29,8.0,255.0,255,255,10.8
30,2.0,255.0,255,255,2.7
31,1.0,255.0,255,255,1.35
32,4.0,255.0,255,255,5.4
33,8.0,255.0,255,255,10.8
34,1.0,255.0,255,255,1.35
35,3.0,255.0,255,255,4.050000000000001
36,1.0,255.0,255,255,1.35
37,4.0,255.0,255,255,5.4
38,1.0,255.0,255,255,1.35
39,2.0,255.0,255,255,2.7
40,1.0,255.0,255,255,1.35
41,8.0,255.0,255,255,10.8
42,5.0,255.0,255,255,6.75
43,6.0,255.0,255,255,8.100000000000001
44,10.0,255.0,255,255,13.5
45,8.0,255.0,255,255,10.8
46,2.0,255.0,255,255,2.7
47,29.0,255.0,255,255,39.150000000000006
48,21.0,255.0,255,255,28.35
49,3.0,255.0,255,255,4.050000000000001
50,182.0,255.0,255,255,245.70000000000002
51,2.0,255.0,255,255,2.7
52,2.0,255.0,255,255,2.7
53,3.0,255.0,255,255,4.050000000000001
54,2.0,255.0,255,255,2.7
55,2.0,255.0,255,255,2.7
56,1.0,255.0,255,255,1.35
57,4.0,255.0,255,255,5.4
58,25.0,255.0,255,255,33.75
59,4.0,255.0,255,255,5.4
60,3.0,255.0,255,255,4.050000000000001
61,10.0,255.0,255,255,13.5
62,34.0,255.0,255,255,45.900000000000006
63,5.0,255.0,255,255,6.75
64,121.0,255.0,255,255,163.35000000000002
65,159.0,255.0,255,255,214.65
66,59.0,255.0,255,255,79.65
67,8.0,255.0,255,255,10.8
68,10.0,255.0,255,255,13.5
69,150.0,255.0,255,255,202.5
70,3.0,255.0,255,255,4.050000000000001
71,2.0,255.0,255,255,2.7
72,7.0,255.0,255,255,9.450000000000001
73,2.0,255.0,255,255,2.7
74,2.0,255.0,255,255,2.7
75,1.0,255.0,255,255,1.35
76,4.0,255.0,255,255,5.4
77,2.0,255.0,255,255,2.7
78,1.0,255.0,255,255,1.35
79,2.0,255.0,255,255,2.7
80,3.0,255.0,255,255,4.050000000000001
81,4.0,255.0,255,255,5.4
82,4.0,255.0,255,255,5.4
83,3.0,255.0,255,255,4.050000000000001
84,1.0,255.0,255,255,1.35
85,1.0,255.0,255,255,1.35
86,1.0,255.0,255,255,1.35
87,3.0,255.0,255,255,4.050000000000001
88,2.0,255.0,255,255,2.7
89,1.0,255.0,255,255,1.35
90,6.0,255.0,255,255,8.100000000000001
91,8.0,255.0,255,255,10.8
92,1.0,255.0,255,255,1.35
93,8.0,255.0,255,255,10.8
94,2.0,255.0,255,255,2.7
95,6.0,255.0,255,255,8.100000000000001
96,1.0,255.0,255,255,1.35
97,2.0,255.0,255,255,2.7
98,4.0,255.0,255,255,5.4
99,21.0,255.0,255,255,27.0
100,4.0,255.0,255,255,5.4
101,1.0,255.0,255,255,1.35
102,4.0,255.0,255,255,5.4
103,3.0,255.0,255,255,4.050000000000001
104,1.0,255.0,255,255,1.35
105,5.0,255.0,255,255,6.75
106,1.0,255.0,255,255,1.35
107,7.0,255.0,255,255,9.450000000000001
108,2.0,255.0,255,255,2.7
109,2.0,255.0,255,255,2.7
110,7.0,255.0,255,255,9.450000000000001
111,9.0,255.0,255,255,12.15
112,3.0,255.0,255,255,4.050000000000001
113,3.0,255.0,255,255,4.050000000000001
114,4.0,255.0,255,255,5.4
115,3.0,255.0,255,255,4.050000000000001
116,3.0,255.0,255,255,4.050000000000001
117,2.0,255.0,255,255,2.7
118,3.0,255.0,255,255,4.050000000000001
119,36.0,255.0,255,255,41.85
120,3.0,255.0,255,255,4.050000000000001
121,18.0,255.0,255,255,24.3
122,20.0,255.0,255,255,27.0
123,2.0,255.0,255,255,2.7
124,1.0,255.0,255,255,1.35
125,1.0,255.0,255,255,1.35
126,8.0,255.0,255,255,10.8
127,10.0,255.0,255,255,13.5
128,2.0,255.0,255,255,2.7
129,5.0,255.0,255,255,6.75
130,1.0,255.0,255,255,1.35
131,19.0,255.0,255,255,25.650000000000002
132,3.0,255.0,255,255,4.050000000000001
133,8.0,255.0,255,255,10.8
134,3.0,255.0,255,255,4.050000000000001
135,5.0,255.0,255,255,6.75
136,1.0,255.0,255,255,1.35
137,10.0,255.0,255,255,13.5
138,1.0,255.0,255,255,1.35
139,3.0,255.0,255,255,4.050000000000001
140,5.0,255.0,255,255,6.75
141,3.0,255.0,255,255,4.050000000000001
142,1.0,255.0,255,255,1.35
143,2.0,255.0,255,255,2.7
144,1.0,255.0,255,255,1.35
145,10.0,255.0,255,255,13.5
146,2.0,255.0,255,255,2.7
147,1.0,255.0,255,255,1.35
148,5.0,255.0,255,255,6.75
149,3.0,255.0,255,255,4.050000000000001
150,1.0,255.0,255,255,1.35
151,3.0,255.0,255,255,4.050000000000001
152,1.0,255.0,255,255,1.35
153,9.0,255.0,255,255,12.15
154,3.0,255.0,255,255,4.050000000000001
155,1.0,255.0,255,255,1.35
156,5.0,255.0,255,255,6.75
157,2.0,255.0,255,255,2.7
158,1.0,255.0,255,255,1.35
159,184.0,255.0,255,255,190.35000000000002
160,4.0,255.0,255,255,5.4
161,1.0,255.0,255,255,1.35
162,3.0,255.0,255,255,4.050000000000001
163,3.0,255.0,255,255,4.050000000000001
164,2.0,255.0,255,255,2.7
165,2.0,255.0,255,255,2.7
