,Area,Mean,Min,Max,Length
1,3.0,255.0,255,255,4.050000000000001
2,134.0,255.0,255,255,179.55
3,1.0,255.0,255,255,1.35
4,1.0,255.0,255,255,1.35
5,14.0,255.0,255,255,18.900000000000002
6,2.0,255.0,255,255,2.7
7,1.0,255.0,255,255,1.35
8,3.0,255.0,255,255,4.050000000000001
9,11.0,255.0,255,255,14.850000000000001
10,2.0,255.0,255,255,2.7
11,1.0,255.0,255,255,1.35
12,2.0,255.0,255,255,2.7
13,9.0,255.0,255,255,12.15
14,1.0,255.0,255,255,1.35
15,5.0,255.0,255,255,6.75
16,2.0,255.0,255,255,2.7
17,1.0,255.0,255,255,1.35
18,1.0,255.0,255,255,1.35
19,20.0,255.0,255,255,27.0
20,43.0,255.0,255,255,58.050000000000004
21,2.0,255.0,255,255,2.7
22,2.0,255.0,255,255,2.7
23,1.0,255.0,255,255,1.35
24,5.0,255.0,255,255,6.75
25,2.0,255.0,255,255,2.7
26,1.0,255.0,255,255,1.35
27,2.0,255.0,255,255,2.7
28,14.0,255.0,255,255,18.900000000000002
29,33.0,255.0,255,255,44.550000000000004
30,3.0,255.0,255,255,4.050000000000001
31,9.0,255.0,255,255,12.15
32,5.0,255.0,255,255,6.75
33,21.0,255.0,255,255,28.35
34,5.0,255.0,255,255,6.75
35,2.0,255.0,255,255,2.7
36,4.0,255.0,255,255,5.4
37,4.0,255.0,255,255,5.4
38,1.0,255.0,255,255,1.35
39,2.0,255.0,255,255,2.7
40,1.0,255.0,255,255,1.35
41,1.0,255.0,255,255,1.35
42,4.0,255.0,255,255,5.4
43,25.0,255.0,255,255,33.75
44,1.0,255.0,255,255,1.35
45,9.0,255.0,255,255,12.15
46,9.0,255.0,255,255,12.15
47,1.0,255.0,255,255,1.35
48,2.0,255.0,255,255,2.7
49,6.0,255.0,255,255,8.100000000000001
50,12.0,255.0,255,255,16.200000000000003
51,14.0,255.0,255,255,18.900000000000002
52,205.0,255.0,255,255,276.75
53,5.0,255.0,255,255,6.75
54,1.0,255.0,255,255,1.35
55,1.0,255.0,255,255,1.35
56,3.0,255.0,255,255,4.050000000000001
57,3.0,255.0,255,255,4.050000000000001
58,4.0,255.0,255,255,5.4
59,4.0,255.0,255,255,5.4
60,2.0,255.0,255,255,2.7
61,1.0,255.0,255,255,1.35
62,1.0,255.0,255,255,1.35
63,104.0,255.0,255,255,139.05
64,1.0,255.0,255,255,1.35
65,79.0,255.0,255,255,106.65
66,12.0,255.0,255,255,16.200000000000003
67,2.0,255.0,255,255,2.7
68,8.0,255.0,255,255,10.8
69,243.0,255.0,255,255,328.05
70,168.0,255.0,255,255,226.8
71,5.0,255.0,255,255,6.75
72,1.0,255.0,255,255,1.35
73,2.0,255.0,255,255,2.7
74,11.0,255.0,255,255,14.850000000000001
75,1.0,255.0,255,255,1.35
76,3.0,255.0,255,255,4.050000000000001
77,40.0,255.0,255,255,54.0
78,1.0,255.0,255,255,1.35
79,1.0,255.0,255,255,1.35
80,6.0,255.0,255,255,8.100000000000001
81,1.0,255.0,255,255,1.35
82,1.0,255.0,255,255,1.35
83,2.0,255.0,255,255,2.7
84,1.0,255.0,255,255,1.35
85,4.0,255.0,255,255,5.4
86,1.0,255.0,255,255,1.35
87,1.0,255.0,255,255,1.35
88,4.0,255.0,255,255,5.4
89,1.0,255.0,255,255,1.35
90,29.0,255.0,255,255,39.150000000000006
91,4.0,255.0,255,255,5.4
92,24.0,255.0,255,255,32.400000000000006
93,2.0,255.0,255,255,2.7
94,2.0,255.0,255,255,2.7
95,6.0,255.0,255,255,8.100000000000001
96,1.0,255.0,255,255,1.35
97,47.0,255.0,255,255,54.0
